row_label_raw,row_label_full,col_0,Tổng dư nợ cho vay,Tổng tiền gửi,Các cam kết ngoại bảng,CCTC phải sinh (Tổng giá trị giao dịch theo hợp đồng),Kinh doanh và đầu tư chứng khoán (Chênh lệch DN-DC),numeric__Tổng dư nợ cho vay,numeric__Tổng tiền gửi,numeric__Các cam kết ngoại bảng,numeric__CCTC phải sinh (Tổng giá trị giao dịch theo hợp đồng),numeric__Kinh doanh và đầu tư chứng khoán (Chênh lệch DN-DC)
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Trong nước,Trong nước,Trong nước,1.755.880.003,1.853.344.168,314.331.809,335.208,226.761.149,1755880003.0,1853344168.0,314331809.0,335208.0,226761149.0
Nước ngoài,Nước ngoài,Nước ngoài,564.756,1.513.412,62.448,-,-,564756.0,1513412.0,62448.0,,
