row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Lợi nhuận chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Lợi nhuận chưa phân phối,numeric__Tổng cộng
,,,Triệu VND50.585.239,Triệu VND14.292.382,Triệu VND7.946.500,Triệu VND4.003.386,Triệu VND19.879.811,Triệu VND96.707.318,,,,,,
Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),,,,,,
Tăng vốn từ trả cổ tức bằng cổ phiếu,Số dư đầu năm (Trình bày lại) > Tăng vốn từ trả cổ tức bằng cổ phiếu,Tăng vốn từ trả cổ tức bằng cổ phiếu,6.419.120,-,-,-,(6.419.120),-,6419120.0,,,,-6419120.0,
Lợi nhuận sau thuế trong năm,Số dư đầu năm (Trình bày lại) > Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,-,-,-,-,21.374.934,21.374.934,,,,,21374934.0,21374934.0
Trích/Tạm trích các quỹ trong năm,Số dư đầu năm (Trình bày lại) > Trích/Tạm trích các quỹ trong năm,Trích/Tạm trích các quỹ trong năm,-,-,2.137.493,1.079.302,(3.216.795),-,,,2137493.0,1079302.0,-3216795.0,
Sử dụng quỹ trong năm,Số dư đầu năm (Trình bày lại) > Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,(1.164),-,-,(1.164),,,-1164.0,,,-1164.0
"Trích lập bổ sung quỹ khen thưởng, phúc lợi các năm tài chính trước","Số dư đầu năm (Trình bày lại) > Trích lập bổ sung quỹ khen thưởng, phúc lợi các năm tài chính trước","Trích lập bổ sung quỹ khen thưởng, phúc lợi các năm tài chính trước",-,-,-,-,(294.630),(294.630),,,,,-294630.0,-294630.0
"Tạm trích quỹ khen thưởng, phúc lợi năm 2023","Số dư đầu năm (Trình bày lại) > Tạm trích quỹ khen thưởng, phúc lợi năm 2023","Tạm trích quỹ khen thưởng, phúc lợi năm 2023",-,-,-,-,(2.614.380),(2.614.380),,,,,-2614380.0,-2614380.0
Tăng/(giảm) khác,Số dư đầu năm (Trình bày lại) > Tăng/(giảm) khác,Tăng/(giảm) khác,-,-,-,827,(1.983),(1.156),,,,827.0,-1983.0,-1156.0
Số dư cuối năm,Số dư đầu năm (Trình bày lại) > Số dư cuối năm,Số dư cuối năm,57.004.359,14.292.382,10.082.829,5.083.515,28.707.837,115.170.922,57004359.0,14292382.0,10082829.0,5083515.0,28707837.0,115170922.0
