row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
1.,1.,1.,Bảo lãnh vay vốn,38,7.481.373,8.522.944,,38.0,7481373.0,8522944.0
2.,2.,2.,Cam kết giao dịch hồi đoái,,1.433.870,1.362.521,,,1433870.0,1362521.0
a.,a.,a.,Cam kết mua ngoại tệ,,846.669,769.295,,,846669.0,769295.0
b.,b.,b.,Cam kết bán ngoại tệ,,587.201,593.226,,,587201.0,593226.0
3.,3.,3.,Cam kết trong nghiệp vụ L/C,38,82.824.148,109.854.527,,38.0,82824148.0,109854527.0
4.,4.,4.,Bảo lãnh khác,38,198.803.232,180.272.775,,38.0,198803232.0,180272775.0
5.,5.,5.,Cam kết khác,38,23.851.634,9.827.160,,38.0,23851634.0,9827160.0
6.,6.,6.,Lãi cho vay và phí phải thu chưa thu được,39,16.025.839,12.926.139,,39.0,16025839.0,12926139.0
7.,7.,7.,Nợ khó đòi đã xử lý,40,216.887.369,190.095.302,,40.0,216887369.0,190095302.0
a.,a.,a.,Nợ gốc của các khoản nợ khó đòi đã xử lý,,110.552.244,97.064.340,,,110552244.0,97064340.0
b.,b.,b.,Nợ lãi của các khoản nợ khó đòi đã xử lý,,106.335.125,93.030.962,,,106335125.0,93030962.0
8.,8.,8.,Tài sản và chứng từ khác,41,79.628.493,70.479.195,,41.0,79628493.0,70479195.0
