row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Quá hạn_2,Quá hạn_3,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Quá hạn_2,numeric__Quá hạn_3
,,,Dưới 90 ngày,Từ 91 tới 180 ngày,Từ 181 tới 360 ngày,Trên 360 ngày,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,32.504,113.189,158.886,239.563,32504.0,113189.0,158886.0,239563.0
