row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm(Trình bày lại)
,,,Giá gốc,VNDDự phòng,Giá gốc,VNDDự phòng,,,,
a. Hàng tồn kho,a. Hàng tồn kho,a. Hàng tồn kho,a. Hàng tồn kho,a. Hàng tồn kho,a. Hàng tồn kho,a. Hàng tồn kho,,,,
Hàng mua đang đi đường,a. Hàng tồn kho > Hàng mua đang đi đường,Hàng mua đang đi đường,4.318.824.212,-,163.024.074,-,4318824212.0,,163024074.0,
"Nguyên liệu, vật liệu","a. Hàng tồn kho > Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",573.391.436.496,(44.240.383.115),384.505.861.441,(45.062.748.280),573391436496.0,-44240383115.0,384505861441.0,-45062748280.0
"Công cụ, dụng cụ","a. Hàng tồn kho > Công cụ, dụng cụ","Công cụ, dụng cụ",3.653.462.469,-,4.000.165.611,-,3653462469.0,,4000165611.0,
"Chi phí sản xuất, kinh doanh dở dang (i)","a. Hàng tồn kho > Chi phí sản xuất, kinh doanh dở dang (i)","Chi phí sản xuất, kinh doanh dở dang (i)",14.259.916.443,-,15.540.682.668,-,14259916443.0,,15540682668.0,
Thành phẩm,a. Hàng tồn kho > Thành phẩm,Thành phẩm,492.240.076.353,-,308.027.430.182,-,492240076353.0,,308027430182.0,
Hàng hóa,a. Hàng tồn kho > Hàng hóa,Hàng hóa,486.209.197,-,-,-,486209197.0,,,
,,,1.088.349.925.170,(44.240.383.115),712.237.163.976,(45.062.748.280),1088349925170.0,-44240383115.0,712237163976.0,-45062748280.0
"b. Thiết bị, vật tư, phụ tùng thay thế dài hạn","a. Hàng tồn kho > b. Thiết bị, vật tư, phụ tùng thay thế dài hạn","b. Thiết bị, vật tư, phụ tùng thay thế dài hạn",99.648.746.226,-,107.923.461.420,-,99648746226.0,,107923461420.0,
Tổng cộng,a. Hàng tồn kho > Tổng cộng,Tổng cộng,1.187.998.671.396,(44.240.383.115),820.160.625.396,(45.062.748.280),1187998671396.0,-44240383115.0,820160625396.0,-45062748280.0
