row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Đơn vị: VND Năm trước (Trình bày lại),numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Đơn vị: VND Năm trước (Trình bày lại)
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,23,9.473.516.917.030,7.470.381.177.162,,1.0,23.0,9473516917030.0,7470381177162.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,23,555.557.558.276,406.038.795.240,,2.0,23.0,555557558276.0,406038795240.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,23,8.917.959.358.754,7.064.342.381.922,,10.0,23.0,8917959358754.0,7064342381922.0
4.,4.,4.,Giá vốn hàng bán và dịch vụ đã cung cấp,11,24,8.026.070.102.681,6.174.018.967.617,,11.0,24.0,8026070102681.0,6174018967617.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,891.889.256.073,890.323.414.305,,20.0,,891889256073.0,890323414305.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,,6.271.973.757,18.208.475.061,,21.0,,6271973757.0,18208475061.0
7.,7.,7.,Chi phí tài chính,22,26,143.197.823.234,124.900.599.082,,22.0,26.0,143197823234.0,124900599082.0
,,,- Trong đó: Chi phí lãi vay,23,,76.281.316.272,99.949.157.178,,23.0,,76281316272.0,99949157178.0
8.,8.,8.,Chi phí bán hàng,25,27,179.031.550.328,134.357.250.884,,25.0,27.0,179031550328.0,134357250884.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,27,241.863.816.808,168.202.065.301,,26.0,27.0,241863816808.0,168202065301.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,334.068.039.460,481.071.974.099,,30.0,,334068039460.0,481071974099.0
11.,11.,11.,Thu nhập khác,31,,1.433.921.194,6.913.212.655,,31.0,,1433921194.0,6913212655.0
12.,12.,12.,Chi phí khác,32,,11.078.820.111,8.926.211.366,,32.0,,11078820111.0,8926211366.0
13.,13.,13.,Lỗ khác (40=31-32),40,,(9.644.898.917),(2.012.998.711),,40.0,,-9644898917.0,-2012998711.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,324.423.140.543,479.058.975.388,,50.0,,324423140543.0,479058975388.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,28,68.486.279.049,109.237.147.777,,51.0,28.0,68486279049.0,109237147777.0
16.,16.,16.,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,52,28,(2.029.034.142),(1.708.787.074),,52.0,28.0,-2029034142.0,-1708787074.0
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-(51+52)),60,,257.965.895.636,371.530.614.685,,60.0,,257965895636.0,371530614685.0
17.1.,17.1.,17.1.,Lợi nhuận sau thuế của Cổ đông Công ty mẹ,61,,257.706.300.456,371.277.573.581,,61.0,,257706300456.0,371277573581.0
17.2.,17.2.,17.2.,Lợi nhuận sau thuế của Cổ đông không kiểm soát,62,,259.595.180,253.041.104,,62.0,,259595180.0,253041104.0
18.,18.,18.,Lãi cơ bản trên cổ phiếu,70,29,675,617,,70.0,29.0,675.0,617.0
