row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư đầu năm trước (Trình bày lại),Số dư đầu năm trước (Trình bày lại),Số dư đầu năm trước (Trình bày lại),3.815.899.110.000,70.790.410.045,(902.752.100),770.212.709.128,769.464.046.761,8.790.912.611,5.434.254.436.445,3815899110000.0,70790410045.0,-902752100.0,770212709128.0,769464046761.0,8790912611.0,5434254436445.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,371.277.573.581,253.041.104,371.530.614.685,,,,,371277573581.0,253041104.0,371530614685.0
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,-,(129.407.000.000),-,(129.407.000.000),,,,,-129407000000.0,,-129407000000.0
Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,-,-,-,22.577.830.000,(22.577.830.000),-,-,,,,22577830000.0,-22577830000.0,,
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,(457.850.293.200),-,(457.850.293.200),,,,,-457850293200.0,,-457850293200.0
Số dư đầu năm nay (Trình bày lại),Số dư đầu năm nay (Trình bày lại),Số dư đầu năm nay (Trình bày lại),3.815.899.110.000,70.790.410.045,(902.752.100),792.790.539.128,530.906.497.142,9.043.953.715,5.218.527.757.930,3815899110000.0,70790410045.0,-902752100.0,792790539128.0,530906497142.0,9043953715.0,5218527757930.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,257.706.300.456,259.595.180,257.965.895.636,,,,,257706300456.0,259595180.0,257965895636.0
"Trích lập Quỹ khen thưởng, phúc lợi (i)","Trích lập Quỹ khen thưởng, phúc lợi (i)","Trích lập Quỹ khen thưởng, phúc lợi (i)",-,-,-,-,(135.907.000.000),-,(135.907.000.000),,,,,-135907000000.0,,-135907000000.0
Trích lập Quỹ đầu tư phát triển (i),Trích lập Quỹ đầu tư phát triển (i),Trích lập Quỹ đầu tư phát triển (i),-,-,-,110.555.000.000,(110.555.000.000),-,-,,,,110555000000.0,-110555000000.0,,
Tái phát hành cổ phiếu quỹ (ii),Tái phát hành cổ phiếu quỹ (ii),Tái phát hành cổ phiếu quỹ (ii),-,86.721.461,902.752.100,-,-,-,989.473.561,,86721461.0,902752100.0,,,,989473561.0
Chia cổ tức bằng tiền (i),Chia cổ tức bằng tiền (i),Chia cổ tức bằng tiền (i),-,-,-,-,(228.953.946.600),-,(228.953.946.600),,,,,-228953946600.0,,-228953946600.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.815.899.110.000,70.877.131.506,-,903.345.539.128,313.196.850.998,9.303.548.895,5.112.622.180.527,3815899110000.0,70877131506.0,,903345539128.0,313196850998.0,9303548895.0,5112622180527.0
