row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lại),numeric__Năm nay,numeric__Năm trước(Trình bày lại)
,,,VND,VND,,
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,324.423.140.543,479.058.975.388,324423140543.0,479058975388.0
Điều chỉnh cho thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế,,,,
Trừ: Thu nhập không chịu thuế,Điều chỉnh cho thu nhập chịu thuế > Trừ: Thu nhập không chịu thuế,Trừ: Thu nhập không chịu thuế,(3.535.258.692),(3.056.682.710),-3535258692.0,-3056682710.0
"- Cổ tức, lợi nhuận được chia","Điều chỉnh cho thu nhập chịu thuế > - Cổ tức, lợi nhuận được chia","- Cổ tức, lợi nhuận được chia",(2.772.000.000),(2.310.778.373),-2772000000.0,-2310778373.0
- Chuyển lỗ từ các năm trước,Điều chỉnh cho thu nhập chịu thuế > - Chuyển lỗ từ các năm trước,- Chuyển lỗ từ các năm trước,(741.700.514),(722.974.581),-741700514.0,-722974581.0
- Khác,Điều chỉnh cho thu nhập chịu thuế > - Khác,- Khác,(21.558.178),(22.929.756),-21558178.0,-22929756.0
Cộng: Các khoản chi phí không được khấu trừ,Điều chỉnh cho thu nhập chịu thuế > Cộng: Các khoản chi phí không được khấu trừ,Cộng: Các khoản chi phí không được khấu trừ,21.543.513.396,70.183.446.209,21543513396.0,70183446209.0
Tổng thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế > Tổng thu nhập chịu thuế,Tổng thu nhập chịu thuế,342.431.395.247,546.185.738.887,342431395247.0,546185738887.0
Thuế suất,Điều chỉnh cho thu nhập chịu thuế > Thuế suất,Thuế suất,20%,20%,0.2,0.2
Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế năm hiện hành,Điều chỉnh cho thu nhập chịu thuế > Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế năm hiện hành,Chi phí thuế thu nhập doanh nghiệp tính trên thu nhập chịu thuế năm hiện hành,68.486.279.049,109.237.147.777,68486279049.0,109237147777.0
