row_label_raw,row_label_full,col_0,TÀI SẢN,Thuyết > Mã số,Thuyết > minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__TÀI SẢN,numeric__Thuyết > Mã số,numeric__Thuyết > minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
A.,A.,A.,TÀI SẢN NGẮN HẠN,100,,2.372.965.174.466,1.527.866.106.711,,100.0,,2372965174466.0,1527866106711.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,675.607.103.925,296.219.053.798,,110.0,4.0,675607103925.0,296219053798.0
1.,1.,1.,Tiền,111,,625.052.273.029,240.681.533.577,,111.0,,625052273029.0,240681533577.0
2.,2.,2.,Các khoản tương đương tiền,112,,50.554.830.896,55.537.520.221,,112.0,,50554830896.0,55537520221.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,15.344.612.389,14.627.847.844,,120.0,5.0,15344612389.0,14627847844.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,15.344.612.389,14.627.847.844,,123.0,,15344612389.0,14627847844.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,498.038.479.506,526.826.879.634,,130.0,,498038479506.0,526826879634.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,260.600.402.660,258.124.766.819,,131.0,6.0,260600402660.0,258124766819.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,67.637.275.721,35.771.216.124,,132.0,7.0,67637275721.0,35771216124.0
3.,3.,3.,Phải thu ngắn hạn khác,136,8,169.681.457.894,232.959.115.257,,136.0,8.0,169681457894.0,232959115257.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,137,,-,(109.543.950),,137.0,,,-109543950.0
5.,5.,5.,Tài sản thiếu chờ xử lý,139,,119.343.231,81.325.384,,139.0,,119343231.0,81325384.0
IV.,IV.,IV.,Hàng tồn kho,140,9,1.044.109.542.055,667.174.415.696,,140.0,9.0,1044109542055.0,667174415696.0
1.,1.,1.,Hàng tồn kho,141,,1.088.349.925.170,712.237.163.976,,141.0,,1088349925170.0,712237163976.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(44.240.383.115),(45.062.748.280),,149.0,,-44240383115.0,-45062748280.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,139.865.436.591,23.017.909.739,,150.0,,139865436591.0,23017909739.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,10,53.198.828.212,5.072.315.034,,151.0,10.0,53198828212.0,5072315034.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,86.666.046.450,17.942.032.776,,152.0,,86666046450.0,17942032776.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,11,561.929,3.561.929,,153.0,11.0,561929.0,3561929.0
