row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Số liệu đã báo cáo,Số điều chỉnh,Trình bày lại,numeric__Mã số,numeric__Số liệu đã báo cáo,numeric__Số điều chỉnh,numeric__Trình bày lại
,,,,VND,VND,VND,,,,
II. BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,II. BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,II. BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,II. BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,II. BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,II. BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,II. BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,,,,
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,,,,
Giá vốn hàng bán và dịch vụ cung cấp,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,11,6.195.124.697.941,(21.105.730.324),6.174.018.967.617,11.0,6195124697941.0,-21105730324.0,6174018967617.0
Chi phí bán hàng,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Chi phí bán hàng,Chi phí bán hàng,25,130.537.061.567,3.820.189.317,134.357.250.884,25.0,130537061567.0,3820189317.0,134357250884.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,93.123.113.586,16.114.034.191,109.237.147.777,51.0,93123113586.0,16114034191.0,109237147777.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,52,(556.825.685),(1.151.961.389),(1.708.787.074),52.0,-556825685.0,-1151961389.0,-1708787074.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,369.207.146.480,2.323.468.205,371.530.614.685,60.0,369207146480.0,2323468205.0,371530614685.0
Lợi nhuận sau thuế của Cổ đông Công ty mẹ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Lợi nhuận sau thuế của Cổ đông Công ty mẹ,Lợi nhuận sau thuế của Cổ đông Công ty mẹ,61,368.954.105.376,2.323.468.205,371.277.573.581,61.0,368954105376.0,2323468205.0,371277573581.0
Lãi cơ bản trên cổ phiếu (*),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Lãi cơ bản trên cổ phiếu (*),Lãi cơ bản trên cổ phiếu (*),70,967,(350),617,70.0,967.0,-350.0,617.0
