row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lại),numeric__Năm nay,numeric__Năm trước(Trình bày lại)
,,,VND,VND,,
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí tư vấn (*),Chi phí bán hàng > Chi phí tư vấn (*),Chi phí tư vấn (*),60.609.772.294,27.451.616.538,60609772294.0,27451616538.0
Chi phí nhân viên,Chi phí bán hàng > Chi phí nhân viên,Chi phí nhân viên,57.585.129.854,53.892.629.261,57585129854.0,53892629261.0
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,7.878.754.742,3.408.765.112,7878754742.0,3408765112.0
Chi phí khác,Chi phí bán hàng > Chi phí khác,Chi phí khác,52.957.893.438,49.604.239.973,52957893438.0,49604239973.0
,,,179.031.550.328,134.357.250.884,179031550328.0,134357250884.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí nhân viên,Chi phí quản lý doanh nghiệp > Chi phí nhân viên,Chi phí nhân viên,84.556.046.040,76.386.301.843,84556046040.0,76386301843.0
Chi phí tư vấn (*),Chi phí quản lý doanh nghiệp > Chi phí tư vấn (*),Chi phí tư vấn (*),60.609.772.294,27.451.616.538,60609772294.0,27451616538.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,15.564.852.688,12.585.356.153,15564852688.0,12585356153.0
Chi phí khác,Chi phí quản lý doanh nghiệp > Chi phí khác,Chi phí khác,81.133.145.786,51.778.790.767,81133145786.0,51778790767.0
,,,241.863.816.808,168.202.065.301,241863816808.0,168202065301.0
