row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Số liệu đã báo cáo,Số điều chỉnh,Trình bày lại,numeric__Mã số,numeric__Số liệu đã báo cáo,numeric__Số điều chỉnh,numeric__Trình bày lại
,,,,VND,VND,VND,,,,
I. BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,I. BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,I. BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,I. BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,I. BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,I. BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,I. BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,,,,
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,,,,
TÀI SẢN NGẮN HẠN,Tại ngày 31 tháng 12 năm 2021 > TÀI SẢN NGẮN HẠN,TÀI SẢN NGẮN HẠN,100,1.524.135.041.418,3.731.065.293,1.527.866.106.711,100.0,1524135041418.0,3731065293.0,1527866106711.0
Tài sản thiếu chờ xử lý,Tại ngày 31 tháng 12 năm 2021 > Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,139,55.656.784,25.668.600,81.325.384,139.0,55656784.0,25668600.0,81325384.0
Hàng tồn kho,Tại ngày 31 tháng 12 năm 2021 > Hàng tồn kho,Hàng tồn kho,141,709.208.115.119,3.029.048.857,712.237.163.976,141.0,709208115119.0,3029048857.0,712237163976.0
Chi phí trả trước ngắn hạn,Tại ngày 31 tháng 12 năm 2021 > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,4.395.967.198,676.347.836,5.072.315.034,151.0,4395967198.0,676347836.0,5072315034.0
TÀI SẢN DÀI HẠN,Tại ngày 31 tháng 12 năm 2021 > TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,200,7.285.051.961.913,70.032.558.768,7.355.084.520.681,200.0,7285051961913.0,70032558768.0,7355084520681.0
Chi phí xây dựng cơ bản dở dang,Tại ngày 31 tháng 12 năm 2021 > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,950.935.551.282,1.091.820.909,952.027.372.191,242.0,950935551282.0,1091820909.0,952027372191.0
Chi phí trả trước dài hạn,Tại ngày 31 tháng 12 năm 2021 > Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,295.448.710.359,67.247.959.278,362.696.669.637,261.0,295448710359.0,67247959278.0,362696669637.0
Tài sản thuế thu nhập hoãn lại,Tại ngày 31 tháng 12 năm 2021 > Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,9.139.011.636,1.692.778.581,10.831.790.217,262.0,9139011636.0,1692778581.0,10831790217.0
NỘ PHẢI TRẢ,Tại ngày 31 tháng 12 năm 2021 > NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,300,3.634.770.943.193,29.651.926.269,3.664.422.869.462,300.0,3634770943193.0,29651926269.0,3664422869462.0
Thuế và các khoản phải nộp Nhà nước,Tại ngày 31 tháng 12 năm 2021 > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,47.126.752.061,28.291.303.905,75.418.055.966,313.0,47126752061.0,28291303905.0,75418055966.0
Thuế thu nhập hoãn lại phải trả,Tại ngày 31 tháng 12 năm 2021 > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,341,-,540.817.192,540.817.192,341.0,,540817192.0,540817192.0
Phải trả ngắn hạn khác,Tại ngày 31 tháng 12 năm 2021 > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,201.355.842.320,819.805.172,202.175.647.492,319.0,201355842320.0,819805172.0,202175647492.0
VỐN CHỦ SỞ HỮU,Tại ngày 31 tháng 12 năm 2021 > VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,400,5.174.416.060.138,44.111.697.792,5.218.527.757.930,400.0,5174416060138.0,44111697792.0,5218527757930.0
Lợi nhuận sau thuế chưa phân phối,Tại ngày 31 tháng 12 năm 2021 > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,486.794.799.350,44.111.697.792,530.906.497.142,421.0,486794799350.0,44111697792.0,530906497142.0
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,Tại ngày 31 tháng 12 năm 2021 > - Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,117.840.693.974,41.788.229.587,159.628.923.561,,117840693974.0,41788229587.0,159628923561.0
- Lợi nhuận sau thuế chưa phân phối kỳ này,Tại ngày 31 tháng 12 năm 2021 > - Lợi nhuận sau thuế chưa phân phối kỳ này,- Lợi nhuận sau thuế chưa phân phối kỳ này,421b,368.954.105.376,2.323.468.205,371.277.573.581,,368954105376.0,2323468205.0,371277573581.0
