row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ
Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,,,,,,
Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh (i),Vay ngắn hạn ngân hàng > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh (i),Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh (i),540.762.493.883,540.762.493.883,1.745.167.148.479,1.650.502.254.498,635.427.387.864,635.427.387.864,540762493883.0,540762493883.0,1745167148479.0,1650502254498.0,635427387864.0,635427387864.0
Ngân hàng Thương mại Cổ phần Công thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh (ii),Vay ngắn hạn ngân hàng > Ngân hàng Thương mại Cổ phần Công thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh (ii),Ngân hàng Thương mại Cổ phần Công thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh (ii),229.501.585.000,229.501.585.000,917.526.786.776,561.488.516.539,585.539.855.237,585.539.855.237,229501585000.0,229501585000.0,917526786776.0,561488516539.0,585539855237.0,585539855237.0
Ngân hàng Thương mại Cổ phần Công thương Việt Nam - Chi nhánh Kiên Giang (iii),Vay ngắn hạn ngân hàng > Ngân hàng Thương mại Cổ phần Công thương Việt Nam - Chi nhánh Kiên Giang (iii),Ngân hàng Thương mại Cổ phần Công thương Việt Nam - Chi nhánh Kiên Giang (iii),77.411.331.342,77.411.331.342,175.843.315.417,152.813.046.181,100.441.600.578,100.441.600.578,77411331342.0,77411331342.0,175843315417.0,152813046181.0,100441600578.0,100441600578.0
Ngân hàng Thương mại Cổ phần Á Châu - Chi nhánh Phan Đình Phùng (iv),Vay ngắn hạn ngân hàng > Ngân hàng Thương mại Cổ phần Á Châu - Chi nhánh Phan Đình Phùng (iv),Ngân hàng Thương mại Cổ phần Á Châu - Chi nhánh Phan Đình Phùng (iv),159.613.262.589,159.613.262.589,188.658.715.445,159.613.262.589,188.658.715.445,188.658.715.445,159613262589.0,159613262589.0,188658715445.0,159613262589.0,188658715445.0,188658715445.0
Ngân hàng Malayan Banking Berhad - Chi nhánh Thành phố Hồ Chí Minh (v),Vay ngắn hạn ngân hàng > Ngân hàng Malayan Banking Berhad - Chi nhánh Thành phố Hồ Chí Minh (v),Ngân hàng Malayan Banking Berhad - Chi nhánh Thành phố Hồ Chí Minh (v),154.321.332.071,154.321.332.071,280.895.869.734,306.758.058.420,128.459.143.385,128.459.143.385,154321332071.0,154321332071.0,280895869734.0,306758058420.0,128459143385.0,128459143385.0
Maybank International Labuan Branch,Vay ngắn hạn ngân hàng > Maybank International Labuan Branch,Maybank International Labuan Branch,58.697.552.727,58.697.552.727,96.456.334.186,155.153.886.913,-,-,58697552727.0,58697552727.0,96456334186.0,155153886913.0,,
Ngân hàng TNHH MTV Shinhan Việt Nam (vi),Vay ngắn hạn ngân hàng > Ngân hàng TNHH MTV Shinhan Việt Nam (vi),Ngân hàng TNHH MTV Shinhan Việt Nam (vi),59.882.126.290,59.882.126.290,95.506.908.803,137.532.406.242,17.856.628.851,17.856.628.851,59882126290.0,59882126290.0,95506908803.0,137532406242.0,17856628851.0,17856628851.0
Ngân hàng TNHH Trung Quốc (Hồng Kông) - Chi nhánh Thành phố Hồ Chí Minh (vii),Vay ngắn hạn ngân hàng > Ngân hàng TNHH Trung Quốc (Hồng Kông) - Chi nhánh Thành phố Hồ Chí Minh (vii),Ngân hàng TNHH Trung Quốc (Hồng Kông) - Chi nhánh Thành phố Hồ Chí Minh (vii),330.938.367.839,330.938.367.839,682.301.291.549,824.600.613.053,188.639.046.335,188.639.046.335,330938367839.0,330938367839.0,682301291549.0,824600613053.0,188639046335.0,188639046335.0
Ngân hàng TNHH MTV HSBC - Chi nhánh Hà Nội,Vay ngắn hạn ngân hàng > Ngân hàng TNHH MTV HSBC - Chi nhánh Hà Nội,Ngân hàng TNHH MTV HSBC - Chi nhánh Hà Nội,-,-,30.910.486.398,30.910.486.398,-,-,,,30910486398.0,30910486398.0,,
Ngân hàng TMCP Tiên Phong,Vay ngắn hạn ngân hàng > Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,-,-,50.000.000.000,50.000.000.000,-,-,,,50000000000.0,50000000000.0,,
,,,1.611.128.051.741,1.611.128.051.741,4.263.266.856.787,4.029.372.530.833,1.845.022.377.695,1.845.022.377.695,1611128051741.0,1611128051741.0,4263266856787.0,4029372530833.0,1845022377695.0,1845022377695.0
