row_label_raw,row_label_full,col_0,Số đầu năm(Trình bày lại),Số đầu năm(Trình bày lại)_1,Số phải nộp/thực thu trong kỳ,Số đã thực nộp/được khấu trừtrong kỳ,Số cuối kỳ,Số cuối kỳ_1,numeric__Số đầu năm(Trình bày lại),numeric__Số đầu năm(Trình bày lại)_1,numeric__Số phải nộp/thực thu trong kỳ,numeric__Số đã thực nộp/được khấu trừtrong kỳ,numeric__Số cuối kỳ,numeric__Số cuối kỳ_1
,,,Phải thu,Phải nộp,Số phải nộp/thực thu trong kỳ,Số đã thực nộp/được khấu trừtrong kỳ,Phải thu,Phải nộp,,,,,,
,,,,VND,VND,VND,,VND,,,,,,
Thuế Giá trị gia tăng đầu ra,Thuế Giá trị gia tăng đầu ra,Thuế Giá trị gia tăng đầu ra,-,3.820.189.317,118.141.399.990,121.961.589.307,-,-,,3820189317.0,118141399990.0,121961589307.0,,
Thuế Giá trị gia tăng hàngnhập khẩu,Thuế Giá trị gia tăng hàngnhập khẩu,Thuế Giá trị gia tăng hàngnhập khẩu,-,-,313.373.045,313.373.045,-,-,,,313373045.0,313373045.0,,
"Thuế Xuất, nhập khẩu","Thuế Xuất, nhập khẩu","Thuế Xuất, nhập khẩu",-,-,51.388.198,51.388.198,-,-,,,51388198.0,51388198.0,,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,55.348.645.016,68.486.279.049,105.713.540.015,-,18.121.384.050,,55348645016.0,68486279049.0,105713540015.0,,18121384050.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,9.670.919.719,35.233.305.825,38.553.847.016,-,6.350.378.528,,9670919719.0,35233305825.0,38553847016.0,,6350378528.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,4.760.880.774,51.820.076.927,51.369.338.170,-,5.211.619.531,,4760880774.0,51820076927.0,51369338170.0,,5211619531.0
"Thuế, phí khác","Thuế, phí khác","Thuế, phí khác",3.561.929,1.817.421.140,96.413.137.323,96.114.493.977,561.929,2.113.064.486,3561929.0,1817421140.0,96413137323.0,96114493977.0,561929.0,2113064486.0
,,,3.561.929,75.418.055.966,370.458.960.357,414.077.569.728,561.929,31.796.446.595,3561929.0,75418055966.0,370458960357.0,414077569728.0,561929.0,31796446595.0
