row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,Phát sinh trong năm > Tăng/ (giảm) do mua công ty con,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,Phát sinh trong năm > Các khoản khác,Đơn vị tính: VND Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Phát sinh trong năm > Tăng/ (giảm) do mua công ty con,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__Phát sinh trong năm > Các khoản khác,numeric__Đơn vị tính: VND Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,,,,,,,
Vay ngân hàng,Vay và nợ thuê tài chính ngắn hạn > Vay ngân hàng,Vay ngân hàng,25.1,1.912.778.913.503,370.347.162.823,5.847.466.295.790,(5.907.886.997.448),7.044.444.491,2.229.749.819.159,251.0,1912778913503.0,370347162823.0,5847466295790.0,-5907886997448.0,7044444491.0,2229749819159.0
Vay ngân hàng dài hạn đến hạn trả,Vay và nợ thuê tài chính ngắn hạn > Vay ngân hàng dài hạn đến hạn trả,Vay ngân hàng dài hạn đến hạn trả,25.2,215.143.792.464,8.944.444.098,312.332.209.023,(224.669.967.854),684.294.493,312.434.772.224,252.0,215143792464.0,8944444098.0,312332209023.0,-224669967854.0,684294493.0,312434772224.0
Nợ thuê tài chính dài hạn đến hạn trả,Vay và nợ thuê tài chính ngắn hạn > Nợ thuê tài chính dài hạn đến hạn trả,Nợ thuê tài chính dài hạn đến hạn trả,25.3,-,10.507.230.628,4.952.869.614,(3.502.410.204),-,11.957.690.038,253.0,,10507230628.0,4952869614.0,-3502410204.0,,11957690038.0
Vay đối tượng khác,Vay và nợ thuê tài chính ngắn hạn > Vay đối tượng khác,Vay đối tượng khác,,2.171.691.524,-,38.846.739.130,(41.102.208.616),83.777.962,-,,2171691524.0,,38846739130.0,-41102208616.0,83777962.0,
Vay các bên liên quan,Vay và nợ thuê tài chính ngắn hạn > Vay các bên liên quan,Vay các bên liên quan,36,7.773.584.906,-,4.000.000.000,(11.000.000.000),(60.541.428),713.043.478,36.0,7773584906.0,,4000000000.0,-11000000000.0,-60541428.0,713043478.0
Trái phiếu phát hành khác đến hạn trả,Vay và nợ thuê tài chính ngắn hạn > Trái phiếu phát hành khác đến hạn trả,Trái phiếu phát hành khác đến hạn trả,,487.625.378.782,-,-,(490.000.000.000),2.374.621.218,-,,487625378782.0,,,-490000000000.0,2374621218.0,
TỔNG CỘNG,Vay và nợ thuê tài chính ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,2.625.493.361.179,389.798.837.549,6.207.598.113.557,(6.678.161.584.122),10.126.596.736,2.554.855.324.899,,2625493361179.0,389798837549.0,6207598113557.0,-6678161584122.0,10126596736.0,2554855324899.0
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,,,,,,,
Vay ngân hàng,Vay và nợ thuê tài chính dài hạn > Vay ngân hàng,Vay ngân hàng,25.2,253.967.040.887,159.735.410.220,1.289.995.862.897,(380.871.280.768),2.982.508.161,1.325.809.541.397,252.0,253967040887.0,159735410220.0,1289995862897.0,-380871280768.0,2982508161.0,1325809541397.0
Nợ thuê tài chính,Vay và nợ thuê tài chính dài hạn > Nợ thuê tài chính,Nợ thuê tài chính,25.3,-,18.764.061.171,-,(4.952.869.614),-,13.811.191.557,253.0,,18764061171.0,,-4952869614.0,,13811191557.0
Trái phiếu phát hành cho bên liên quan,Vay và nợ thuê tài chính dài hạn > Trái phiếu phát hành cho bên liên quan,Trái phiếu phát hành cho bên liên quan,36,104.889.683.395,(105.336.000.000),-,-,446.316.605,-,36.0,104889683395.0,-105336000000.0,,,446316605.0,
TỔNG CỘNG,Vay và nợ thuê tài chính dài hạn > TỔNG CỘNG,TỔNG CỘNG,,358.856.724.282,73.163.471.391,1.289.995.862.897,(385.824.150.382),3.428.824.766,1.339.620.732.954,,358856724282.0,73163471391.0,1289995862897.0,-385824150382.0,3428824766.0,1339620732954.0
