row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND,numeric__Năm nay,numeric__Đơn vị tính: VND
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,12.787.713.250.229,12.628.191.473.898,12787713250229.0,12628191473898.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,6.906.154.990.532,7.726.006.726.822,6906154990532.0,7726006726822.0
Doanh thu bán thành phẩm,Trong đó: > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,5.477.242.922.002,4.593.340.375.660,5477242922002.0,4593340375660.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,263.077.627.855,176.960.278.129,263077627855.0,176960278129.0
"Doanh thu cho thuê đất, nhà xưởng và hạ tầng khu công nghiệp ghi nhận hàng kỳ (*)","Trong đó: > Doanh thu cho thuê đất, nhà xưởng và hạ tầng khu công nghiệp ghi nhận hàng kỳ (*)","Doanh thu cho thuê đất, nhà xưởng và hạ tầng khu công nghiệp ghi nhận hàng kỳ (*)",141.237.709.840,131.884.093.287,141237709840.0,131884093287.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(5.482.689.181),(6.677.328.951),-5482689181.0,-6677328951.0
Hàng bán trả lại,Trong đó: > Hàng bán trả lại,Hàng bán trả lại,(552.314.736),(1.447.261.573),-552314736.0,-1447261573.0
Giảm giá hàng bán,Trong đó: > Giảm giá hàng bán,Giảm giá hàng bán,(4.678.411.135),(5.230.067.378),-4678411135.0,-5230067378.0
Chiết khấu thương mại,Trong đó: > Chiết khấu thương mại,Chiết khấu thương mại,(251.963.310),-,-251963310.0,
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,12.782.230.561.048,12.621.514.144.947,12782230561048.0,12621514144947.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu thuần từ bán hàng hóa,Trong đó: > Doanh thu thuần từ bán hàng hóa,Doanh thu thuần từ bán hàng hóa,6.903.836.172.390,7.720.667.099.318,6903836172390.0,7720667099318.0
Doanh thu thuần từ bán thành phẩm,Trong đó: > Doanh thu thuần từ bán thành phẩm,Doanh thu thuần từ bán thành phẩm,5.474.079.050.963,4.592.002.674.214,5474079050963.0,4592002674214.0
Doanh thu thuần từ cung cấp dịch vụ,Trong đó: > Doanh thu thuần từ cung cấp dịch vụ,Doanh thu thuần từ cung cấp dịch vụ,263.077.627.855,176.960.278.128,263077627855.0,176960278128.0
"Doanh thu thuần cho thuê đất, nhà xưởng và hạ tầng khu công nghiệp","Trong đó: > Doanh thu thuần cho thuê đất, nhà xưởng và hạ tầng khu công nghiệp","Doanh thu thuần cho thuê đất, nhà xưởng và hạ tầng khu công nghiệp",141.237.709.840,131.884.093.287,141237709840.0,131884093287.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,12.655.346.501.688,12.449.326.103.269,12655346501688.0,12449326103269.0
Doanh thu đối với bên liên quan,Trong đó: > Doanh thu đối với bên liên quan,Doanh thu đối với bên liên quan,126.884.059.360,172.188.041.678,126884059360.0,172188041678.0
