row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Năm nay,Năm trước,numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,29.1,12.787.713.250.229,12.628.191.473.898,,291.0,12787713250229.0,12628191473898.0
02,02,02,Các khoản giảm trừ doanh thu,29.1,(5.482.689.181),(6.677.328.951),,291.0,-5482689181.0,-6677328951.0
10,10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ,29.1,12.782.230.561.048,12.621.514.144.947,,291.0,12782230561048.0,12621514144947.0
11,11,11,Giá vốn hàng bán và dịch vụ cung cấp,30,(11.298.125.054.883),(11.512.820.822.177),,30.0,-11298125054883.0,-11512820822177.0
20,20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,1.484.105.506.165,1.108.693.322.770,,,1484105506165.0,1108693322770.0
21,21,21,Doanh thu hoạt động tài chính,29.2,270.722.310.926,242.681.115.061,,292.0,270722310926.0,242681115061.0
22,22,22,Chi phí tài chính,31,(200.721.664.875),(239.294.342.399),,31.0,-200721664875.0,-239294342399.0
23,23,23,Trong đó: Chi phí lãi vay,,(159.525.373.952),(190.476.045.845),,,-159525373952.0,-190476045845.0
24,24,24,"Phần lãi trong công ty liên doanh, liên kết",18.1,56.719.757.316,52.941.132.765,,181.0,56719757316.0,52941132765.0
25,25,25,Chi phí bán hàng,32,(716.779.456.478),(511.055.878.824),,32.0,-716779456478.0,-511055878824.0
26,26,26,Chi phí quản lý doanh nghiệp,32,(380.383.295.396),(285.281.847.427),,32.0,-380383295396.0,-285281847427.0
30,30,30,Lợi nhuận thuần từ hoạt động kinh doanh,,513.663.157.658,368.683.501.946,,,513663157658.0,368683501946.0
31,31,31,Thu nhập khác,33,10.216.040.995,16.181.309.264,,33.0,10216040995.0,16181309264.0
32,32,32,Chi phí khác,33,(108.313.161.493),(6.969.256.261),,33.0,-108313161493.0,-6969256261.0
40,40,40,(Lỗ)/lợi nhuận khác,33,(98.097.120.498),9.212.053.003,,33.0,-98097120498.0,9212053003.0
50,50,50,Tổng lợi nhuận kế toán trước thuế,,415.566.037.160,377.895.554.949,,,415566037160.0,377895554949.0
51,51,51,Chi phí thuế TNDN hiện hành,35.1,(95.601.801.896),(77.937.805.250),,351.0,-95601801896.0,-77937805250.0
52,52,52,(Chi phí)/thu nhập thuế TNDN hoãn lại,35.3,(182.394.533),9.236.073.435,,353.0,-182394533.0,9236073435.0
60,60,60,Lợi nhuận sau thuế TNDN,,319.781.840.731,309.193.823.134,,,319781840731.0,309193823134.0
61,61,61,Lợi nhuận sau thuế của công ty mẹ,,368.580.504.091,289.410.548.684,,,368580504091.0,289410548684.0
62,62,62,(Lỗ)/lợi nhuận sau thuế của cổ đông không kiểm soát,,(48.798.663.360),19.783.274.450,,,-48798663360.0,19783274450.0
