row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm,Đơn vị tính: VND > Số đầu năm_1,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số đầu năm_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Hàng tồn kho liên quan đến sản phẩm nhựa,Hàng tồn kho liên quan đến sản phẩm nhựa,Hàng tồn kho liên quan đến sản phẩm nhựa,Hàng tồn kho liên quan đến sản phẩm nhựa,Hàng tồn kho liên quan đến sản phẩm nhựa,Hàng tồn kho liên quan đến sản phẩm nhựa,Hàng tồn kho liên quan đến sản phẩm nhựa,,,,
Nguyên vật liệu,Hàng tồn kho liên quan đến sản phẩm nhựa > Nguyên vật liệu,Nguyên vật liệu,433.649.214.059,-,309.237.823.261,-,433649214059.0,,309237823261.0,
Hàng hóa,Hàng tồn kho liên quan đến sản phẩm nhựa > Hàng hóa,Hàng hóa,127.124.795.552,(634.015.767),105.829.648.718,(1.709.929.696),127124795552.0,-634015767.0,105829648718.0,-1709929696.0
Hàng mua đang,Hàng mua đang,Hàng mua đang,,,,,,,,
đi đường,Hàng mua đang > đi đường,đi đường,340.687.385.851,-,119.087.327.941,-,340687385851.0,,119087327941.0,
Thành phẩm,Hàng mua đang > Thành phẩm,Thành phẩm,179.620.480.684,(1.065.740.573),141.164.355.803,-,179620480684.0,-1065740573.0,141164355803.0,
"Công cụ, dụng","Công cụ, dụng","Công cụ, dụng",,,,,,,,
cụ,"Công cụ, dụng > cụ",cụ,36.499.712.418,-,28.077.457.814,-,36499712418.0,,28077457814.0,
Chi phí sản xuất,Chi phí sản xuất,Chi phí sản xuất,,,,,,,,
kinh doanh dở,kinh doanh dở,kinh doanh dở,,,,,,,,
dang,kinh doanh dở > dang,dang,55.899.220.344,-,5.588.020.358,-,55899220344.0,,5588020358.0,
Hàng gửi bán,kinh doanh dở > Hàng gửi bán,Hàng gửi bán,101.153.558.263,-,60.896.763.723,-,101153558263.0,,60896763723.0,
Hàng tồn kho bất động sản,Hàng tồn kho bất động sản,Hàng tồn kho bất động sản,Hàng tồn kho bất động sản,Hàng tồn kho bất động sản,Hàng tồn kho bất động sản,Hàng tồn kho bất động sản,,,,
Hạ tầng khu công nghiệp (*),Hàng tồn kho bất động sản > Hạ tầng khu công nghiệp (*),Hạ tầng khu công nghiệp (*),13.508.761.275,-,13.508.761.275,-,13508761275.0,,13508761275.0,
TỔNG CỘNG,Hàng tồn kho bất động sản > TỔNG CỘNG,TỔNG CỘNG,1.288.143.128.446,(1.699.756.340),783.390.158.893,(1.709.929.696),1288143128446.0,-1699756340.0,783390158893.0,-1709929696.0
