row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Nhận đặt cọc thuê lại quyền sử dụng đất và hạ tầng,Ngắn hạn > Nhận đặt cọc thuê lại quyền sử dụng đất và hạ tầng,Nhận đặt cọc thuê lại quyền sử dụng đất và hạ tầng,149.270.820.233,139.474.509.266,149270820233.0,139474509266.0
Phải trả đặt cọc do hủy hợp đồng,Ngắn hạn > Phải trả đặt cọc do hủy hợp đồng,Phải trả đặt cọc do hủy hợp đồng,8.846.253.923,8.410.072.293,8846253923.0,8410072293.0
Phải trả lãi vay,Ngắn hạn > Phải trả lãi vay,Phải trả lãi vay,278.930.340,888.118.023,278930340.0,888118023.0
Cổ tức phải trả,Ngắn hạn > Cổ tức phải trả,Cổ tức phải trả,229.686.443,109.328.043,229686443.0,109328043.0
Phải trả về thư tín dụng trả chậm - LC,Ngắn hạn > Phải trả về thư tín dụng trả chậm - LC,Phải trả về thư tín dụng trả chậm - LC,-,12.833.754.060,,12833754060.0
Phải trả khác,Ngắn hạn > Phải trả khác,Phải trả khác,11.308.098.038,6.904.758.873,11308098038.0,6904758873.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,169.933.788.977,168.620.540.558,169933788977.0,168620540558.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên khác,Trong đó: > Phải trả các bên khác,Phải trả các bên khác,161.087.535.054,159.750.444.977,161087535054.0,159750444977.0
Phải trả các bên liên quan (Thuyết minh số 36),Trong đó: > Phải trả các bên liên quan (Thuyết minh số 36),Phải trả các bên liên quan (Thuyết minh số 36),8.846.253.923,8.870.095.581,8846253923.0,8870095581.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Nhận đặt cọc thuê nhà xưởng và cờ sở hạ tầng,Dài hạn > Nhận đặt cọc thuê nhà xưởng và cờ sở hạ tầng,Nhận đặt cọc thuê nhà xưởng và cờ sở hạ tầng,3.948.813.984,8.828.368.337,3948813984.0,8828368337.0
Khu Công nghiệp,Dài hạn > Khu Công nghiệp,Khu Công nghiệp,3.948.813.984,8.828.368.337,3948813984.0,8828368337.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,3.948.813.984,8.828.368.337,3948813984.0,8828368337.0
