row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,415.566.037.160,377.895.554.949,415566037160.0,377895554949.0
Thuế TNDN theo các thuế suất áp dụng cho Nhóm Công ty,Thuế TNDN theo các thuế suất áp dụng cho Nhóm Công ty,Thuế TNDN theo các thuế suất áp dụng cho Nhóm Công ty,,,,
Thuế suất thuế TNDN 21%,Thuế TNDN theo các thuế suất áp dụng cho Nhóm Công ty > Thuế suất thuế TNDN 21%,Thuế suất thuế TNDN 21%,(20.460.248.205),(13.934.116.099),-20460248205.0,-13934116099.0
Thuế suất thuế TNDN 20%,Thuế TNDN theo các thuế suất áp dụng cho Nhóm Công ty > Thuế suất thuế TNDN 20%,Thuế suất thuế TNDN 20%,108.188.319.480,85.720.780.825,108188319480.0,85720780825.0
Thuế suất thuế TNDN 17%,Thuế TNDN theo các thuế suất áp dụng cho Nhóm Công ty > Thuế suất thuế TNDN 17%,Thuế suất thuế TNDN 17%,463.831.195,2.255.767.864,463831195.0,2255767864.0
Thuế suất thuế TNDN 10%,Thuế TNDN theo các thuế suất áp dụng cho Nhóm Công ty > Thuế suất thuế TNDN 10%,Thuế suất thuế TNDN 10%,-,833.396.499,,833396499.0
Thuế suất thuế TNDN 9%,Thuế TNDN theo các thuế suất áp dụng cho Nhóm Công ty > Thuế suất thuế TNDN 9%,Thuế suất thuế TNDN 9%,(2.775.021.135),(96.299.806),-2775021135.0,-96299806.0
Thuế suất thuế TNDN 5%,Thuế TNDN theo các thuế suất áp dụng cho Nhóm Công ty > Thuế suất thuế TNDN 5%,Thuế suất thuế TNDN 5%,7.967.124,8.037.639,7967124.0,8037639.0
Miễn giảm thuế TNDN,Thuế TNDN theo các thuế suất áp dụng cho Nhóm Công ty > Miễn giảm thuế TNDN,Miễn giảm thuế TNDN,(1.008.030.850),-,-1008030850.0,
Các khoản điều chỉnh,Các khoản điều chỉnh,Các khoản điều chỉnh,,,,
Thuế TNDN hoãn lại chưa được ghi nhận cho các khoản lỗ tính thuế,Các khoản điều chỉnh > Thuế TNDN hoãn lại chưa được ghi nhận cho các khoản lỗ tính thuế,Thuế TNDN hoãn lại chưa được ghi nhận cho các khoản lỗ tính thuế,2.348.720.960,13.979.052.220,2348720960.0,13979052220.0
(Hoàn nhập dự phòng)/dự phòng khoản đầu tư vào công ty con,Các khoản điều chỉnh > (Hoàn nhập dự phòng)/dự phòng khoản đầu tư vào công ty con,(Hoàn nhập dự phòng)/dự phòng khoản đầu tư vào công ty con,(9.447.995.756),3.528.835.113,-9447995756.0,3528835113.0
Phân bổ lợi thế thương mại,Các khoản điều chỉnh > Phân bổ lợi thế thương mại,Phân bổ lợi thế thương mại,6.065.067.028,1.020.535.994,6065067028.0,1020535994.0
Chi phí lãi vay không được trừ,Các khoản điều chỉnh > Chi phí lãi vay không được trừ,Chi phí lãi vay không được trừ,(514.618.672),1.114.629.003,-514618672.0,1114629003.0
Chi phí khác không được khấu trừ,Các khoản điều chỉnh > Chi phí khác không được khấu trừ,Chi phí khác không được khấu trừ,11.060.660.217,2.249.092.838,11060660217.0,2249092838.0
Điều chỉnh khác,Các khoản điều chỉnh > Điều chỉnh khác,Điều chỉnh khác,1.443.106.513,(1.887.339.274),1443106513.0,-1887339274.0
Chi phí dùng triển khai Dự án Nhà máy PBAT không được trừ,Các khoản điều chỉnh > Chi phí dùng triển khai Dự án Nhà máy PBAT không được trừ,Chi phí dùng triển khai Dự án Nhà máy PBAT không được trừ,18.991.056.889,-,18991056889.0,
Điều chỉnh hợp nhất khác không chịu thuế,Các khoản điều chỉnh > Điều chỉnh hợp nhất khác không chịu thuế,Điều chỉnh hợp nhất khác không chịu thuế,(2.404.562.190),(1.663.117.953),-2404562190.0,-1663117953.0
Điều chỉnh thuế TNDN năm trước,Các khoản điều chỉnh > Điều chỉnh thuế TNDN năm trước,Điều chỉnh thuế TNDN năm trước,4.876.501.636,-,4876501636.0,
Lãi trong công ty liên kết,Các khoản điều chỉnh > Lãi trong công ty liên kết,Lãi trong công ty liên kết,(11.343.951.463),(10.588.226.553),-11343951463.0,-10588226553.0
Lỗ năm trước chuyển sang,Các khoản điều chỉnh > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,(9.706.606.342),(13.839.296.495),-9706606342.0,-13839296495.0
Chi phí thuế TNDN,Các khoản điều chỉnh > Chi phí thuế TNDN,Chi phí thuế TNDN,95.784.196.429,68.701.731.815,95784196429.0,68701731815.0
