row_label_raw,row_label_full,col_0,Việt Nam,Singapore,Mỹ,Hàn Quốc,Loại trừ,Đơn vị tính: VND,numeric__Việt Nam,numeric__Singapore,numeric__Mỹ,numeric__Hàn Quốc,numeric__Loại trừ,numeric__Đơn vị tính: VND
Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,,,,,,
Tài sản cố định hữu hình,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm > Tài sản cố định hữu hình,Tài sản cố định hữu hình,380.372.038.226,-,3.714.055.424,-,,384.086.093.650,380372038226.0,,3714055424.0,,,384086093650.0
Tài sản cố định vô hình,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm > Tài sản cố định vô hình,Tài sản cố định vô hình,2.739.000.000,-,-,-,,2.739.000.000,2739000000.0,,,,,2739000000.0
Chi phí xây dựng cơ bản dở dang,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,1.221.222.926.857,-,-,-,,1.221.222.926.857,1221222926857.0,,,,,1221222926857.0
Bất động sản đầu tư,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm > Bất động sản đầu tư,Bất động sản đầu tư,1.347.753.515,-,-,-,,1.347.753.515,1347753515.0,,,,,1347753515.0
Khẩu hao và hao mòn,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm > Khẩu hao và hao mòn,Khẩu hao và hao mòn,377.306.938.154,-,3.277.691.869,-,,380.584.630.023,377306938154.0,,3277691869.0,,,380584630023.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,12.651.101.347.968,274.937.794.836,174.797.078.029,185.009.078.724,(302.509.276.441),12.983.336.023.116,12651101347968.0,274937794836.0,174797078029.0,185009078724.0,-302509276441.0,12983336023116.0
Tài sản không phân bổ (ii),Tài sản và công nợ > Tài sản không phân bổ (ii),Tài sản không phân bổ (ii),,,,,,784.879.561.339,,,,,,784879561339.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,,,13.768.215.584.455,,,,,,13768215584455.0
Tổng nợ phải trả theo bộ phận,Tài sản và công nợ > Tổng nợ phải trả theo bộ phận,Tổng nợ phải trả theo bộ phận,3.673.253.857.663,187.694.618.424,38.025.973.661,127.849.232.586,(407.734.503.049),3.619.089.179.285,3673253857663.0,187694618424.0,38025973661.0,127849232586.0,-407734503049.0,3619089179285.0
Tổng nợ phải trả không phân bổ (iii),Tài sản và công nợ > Tổng nợ phải trả không phân bổ (iii),Tổng nợ phải trả không phân bổ (iii),,,,,,3.912.852.451.970,,,,,,3912852451970.0
Tổng công nợ,Tài sản và công nợ > Tổng công nợ,Tổng công nợ,,,,,,7.531.941.631.255,,,,,,7531941631255.0
