row_label_raw,row_label_full,col_0,Hoạt động sản xuất,Hoạt động kinh doanh thương mại,"Kinh doanh nhà xuống, cho thuê đất và hạ tầng khu công nghiệp",Hoạt động khác,Điều chỉnh và loại trừ,Tổng cộng,numeric__Hoạt động sản xuất,numeric__Hoạt động kinh doanh thương mại,"numeric__Kinh doanh nhà xuống, cho thuê đất và hạ tầng khu công nghiệp",numeric__Hoạt động khác,numeric__Điều chỉnh và loại trừ,numeric__Tổng cộng
Cho năm tài chính kết thúc cùng ngày,Cho năm tài chính kết thúc cùng ngày,Cho năm tài chính kết thúc cùng ngày,Cho năm tài chính kết thúc cùng ngày,Cho năm tài chính kết thúc cùng ngày,Cho năm tài chính kết thúc cùng ngày,Cho năm tài chính kết thúc cùng ngày,Cho năm tài chính kết thúc cùng ngày,Cho năm tài chính kết thúc cùng ngày,,,,,,
Doanh thu từ bán hàng ra bên ngoài,Cho năm tài chính kết thúc cùng ngày > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,4.592.002.674.214,7.720.667.099.317,131.884.093.287,176.960.278.129,-,12.621.514.144.947,4592002674214.0,7720667099317.0,131884093287.0,176960278129.0,,12621514144947.0
Doanh thu từ bán hàng cho các bộ phận,Cho năm tài chính kết thúc cùng ngày > Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,166.877.155.806,764.774.555.990,-,103.204.061.538,(1.034.855.773.334),-,166877155806.0,764774555990.0,,103204061538.0,-1034855773334.0,
Tổng doanh thu,Cho năm tài chính kết thúc cùng ngày > Tổng doanh thu,Tổng doanh thu,4.758.879.830.020,8.485.441.655.307,131.884.093.287,280.164.339.667,(1.034.855.773.334),12.621.514.144.947,4758879830020.0,8485441655307.0,131884093287.0,280164339667.0,-1034855773334.0,12621514144947.0
Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,,,,,,
Tài sản cố định hữu hình,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm > Tài sản cố định hữu hình,Tài sản cố định hữu hình,30.788.014.143,-,-,-,-,30.788.014.143,30788014143.0,,,,,30788014143.0
Chi phí xây dựng cơ bản dở dang,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,447.975.899.702,-,-,-,-,447.975.899.702,447975899702.0,,,,,447975899702.0
Bất động sản đầu tư,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm > Bất động sản đầu tư,Bất động sản đầu tư,864.505.290.360,-,-,-,-,864.505.290.360,864505290360.0,,,,,864505290360.0
Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,,,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,,
Tài sản bộ phận,Các thông tin bộ phận khác > Tài sản bộ phận,Tài sản bộ phận,1.091.218.601.635,728.470.212.641,1.659.453.032.220,32.604.424.817,(86.344.519.408),3.425.401.751.905,1091218601635.0,728470212641.0,1659453032220.0,32604424817.0,-86344519408.0,3425401751905.0
Tài sản không phân bổ (iv),Các thông tin bộ phận khác > Tài sản không phân bổ (iv),Tài sản không phân bổ (iv),,,,,,8.158.043.754.011,,,,,,8158043754011.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,,,11.583.445.505.916,,,,,,11583445505916.0
