row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi sổ,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm > Giá gốc,Đơn vị tính: VND > Số đầu năm > Giá trị ghi sổ,Đơn vị tính: VND > Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi sổ,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm > Giá gốc,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị ghi sổ,numeric__Đơn vị tính: VND > Số đầu năm > Dự phòng
Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),718.639.358.712,718.639.358.712,-,1.079.609.986.000,1.079.609.986.000,-,718639358712.0,718639358712.0,,1079609986000.0,1079609986000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,718.639.358.712,718.639.358.712,-,1.079.609.986.000,1.079.609.986.000,-,718639358712.0,718639358712.0,,1079609986000.0,1079609986000.0,
