row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,10.216.040.995,16.181.309.264,10216040995.0,16181309264.0
Thu nhập từ hủy hợp đồng,Thu nhập từ hủy hợp đồng,Thu nhập từ hủy hợp đồng,42.567.381,9.046.416.988,42567381.0,9046416988.0
Lãi từ thanh lý tài sản,Lãi từ thanh lý tài sản,Lãi từ thanh lý tài sản,3.907.871.311,2.748.846.664,3907871311.0,2748846664.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,6.265.602.303,4.386.045.612,6265602303.0,4386045612.0
Chi phí khác,Chi phí khác,Chi phí khác,108.313.161.493,6.969.256.261,108313161493.0,6969256261.0
Chi phí đứng phát triển Dự án nhà máy PBAT (*),Chi phí đứng phát triển Dự án nhà máy PBAT (*),Chi phí đứng phát triển Dự án nhà máy PBAT (*),94.955.284.445,-,94955284445.0,
Chi phí bồi thường,Chi phí bồi thường,Chi phí bồi thường,3.354.044.349,3.922.045.364,3354044349.0,3922045364.0
Lỗ từ thanh lý tài sản,Lỗ từ thanh lý tài sản,Lỗ từ thanh lý tài sản,-,356.692.983,,356692983.0
Chi phí khác,Chi phí khác,Chi phí khác,10.003.832.699,2.690.517.914,10003832699.0,2690517914.0
(Lỗ)/LỢI NHUẬN KHÁC THUÀN,(Lỗ)/LỢI NHUẬN KHÁC THUÀN,(Lỗ)/LỢI NHUẬN KHÁC THUÀN,(98.097.120.498),9.212.053.003,-98097120498.0,9212053003.0
