row_label_raw,row_label_full,col_0,Công ty An Vinh,"Công ty An Phat International, Inc.",Công ty Ankor (*),Công ty Nhưa Hà Nội,Tổng công,numeric__Công ty An Vinh,"numeric__Công ty An Phat International, Inc.",numeric__Công ty Ankor (*),numeric__Công ty Nhưa Hà Nội,numeric__Tổng công
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,15.991.554.209,24.819.303.441,20.431.884.116,-,61.242.741.766,15991554209.0,24819303441.0,20431884116.0,,61242741766.0
- Tăng trong năm,Nguyên giá: > - Tăng trong năm,- Tăng trong năm,-,-,-,138.957.175.664,138.957.175.664,,,,138957175664.0,138957175664.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,15.991.554.209,24.819.303.441,20.431.884.116,138.957.175.664,200.199.917.430,15991554209.0,24819303441.0,20431884116.0,138957175664.0,200199917430.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,5.597.043.976,6.825.308.450,1.021.594.206,-,13.443.946.632,5597043976.0,6825308450.0,1021594206.0,,13443946632.0
- Phân bổ trong năm,Giá trị hao mòn lũy kế: > - Phân bổ trong năm,- Phân bổ trong năm,1.599.155.424,2.481.930.348,19.410.289.910,6.833.959.459,30.325.335.141,1599155424.0,2481930348.0,19410289910.0,6833959459.0,30325335141.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,7.196.199.400,9.307.238.798,20.431.884.116,6.833.959.459,43.769.281.773,7196199400.0,9307238798.0,20431884116.0,6833959459.0,43769281773.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,10.394.510.233,17.993.994.991,19.410.289.910,-,47.798.795.134,10394510233.0,17993994991.0,19410289910.0,,47798795134.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,8.795.354.809,15.512.064.643,-,132.123.216.205,156.430.635.657,8795354809.0,15512064643.0,,132123216205.0,156430635657.0
