row_label_raw,row_label_full,Ngân hàng,Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024_1,Kỳ hạn trả gốc và lãi vay,Lãi suất(%/năm),Hình thứcđảm bảo,numeric__Ngày 31 tháng 12 năm 2024,numeric__Ngày 31 tháng 12 năm 2024_1,numeric__Kỳ hạn trả gốc và lãi vay,numeric__Lãi suất(%/năm),numeric__Hình thứcđảm bảo
,,,VND,Nguyên tệ,,,,,,,,
Các khoản vay ngân hàng bằng VND,Các khoản vay ngân hàng bằng VND,Các khoản vay ngân hàng bằng VND,1.620.818.226.664,1.620.818.226.664 VND,"Thời hạn vay theo từng khế ước nhận nợ. Lãi vay trả hàng tháng hoặc hàng quý. Gốc vay trả hàng quý, ngày đáo hạn cuối cùng vào tháng 12 năm 2033.","5,2% - 8,7%",(ii),1620818226664.0,,,,
Các khoản vay ngân hàng bằng KRW,Các khoản vay ngân hàng bằng KRW,Các khoản vay ngân hàng bằng KRW,17.426.086.957,1.002.000.000 KRW,Gốc và lãi trả hàng tháng. Ngày đáo hạn cuối cùng vào tháng 8 năm 2033.,"5,45% - 5,77%",(ii),17426086957.0,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.638.244.313.621,,,,,1638244313621.0,,,,
Trong đó- Vay dài hạn đến hạn trả- Vay dài hạn,Trong đó- Vay dài hạn đến hạn trả- Vay dài hạn,Trong đó- Vay dài hạn đến hạn trả- Vay dài hạn,312.434.772.224,,,,,312434772224.0,,,,
Trong đó- Vay dài hạn đến hạn trả- Vay dài hạn,Trong đó- Vay dài hạn đến hạn trả- Vay dài hạn,Trong đó- Vay dài hạn đến hạn trả- Vay dài hạn,1.325.809.541.397,,,,,1325809541397.0,,,,
