row_label_raw,row_label_full,col_0,Vốn cổ phần đã phát hành,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Quỹ khác thuộc chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần đã phát hành,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.822.744.960.000,823.946.323.817,18.751.291.534,22.441.429.244,80.481.616.464,13.177.404.323,562.622.505.805,619.705.409.043,5.963.870.940.230,3822744960000.0,823946323817.0,18751291534.0,22441429244.0,80481616464.0,13177404323.0,562622505805.0,619705409043.0,5963870940230.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,-,-,368.580.504.091,(48.798.663.360),319.781.840.731,,,,,,,368580504091.0,-48798663360.0,319781840731.0
- Trích quỹ khen thưởng phúc lợi (i),Năm nay > - Trích quỹ khen thưởng phúc lợi (i),- Trích quỹ khen thưởng phúc lợi (i),-,-,-,-,-,-,(40.398.004.629),(4.987.324.633),(45.385.329.262),,,,,,,-40398004629.0,-4987324633.0,-45385329262.0
- Chia cổ tức bằng tiền,Năm nay > - Chia cổ tức bằng tiền,- Chia cổ tức bằng tiền,-,-,-,-,-,-,-,(10.582.850.000),(10.582.850.000),,,,,,,,-10582850000.0,-10582850000.0
- Mua công ty con,Năm nay > - Mua công ty con,- Mua công ty con,-,-,-,-,-,-,18.852.810,1.055.425,19.908.235,,,,,,,18852810.0,1055425.0,19908235.0
- Mua công ty con cùng chịu sự kiểm soát chung (ii),Năm nay > - Mua công ty con cùng chịu sự kiểm soát chung (ii),- Mua công ty con cùng chịu sự kiểm soát chung (ii),-,-,-,-,-,-,(301.024.719.047),535.655.067.443,234.630.348.396,,,,,,,-301024719047.0,535655067443.0,234630348396.0
- Thay đổi do tăng tỷ lệ sở hữu tại các công ty con,Năm nay > - Thay đổi do tăng tỷ lệ sở hữu tại các công ty con,- Thay đổi do tăng tỷ lệ sở hữu tại các công ty con,-,-,-,-,-,-,(42.690.715.985),(185.776.184.193),(228.466.900.178),,,,,,,-42690715985.0,-185776184193.0,-228466900178.0
- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính các công ty con ở nước ngoài,Năm nay > - Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính các công ty con ở nước ngoài,- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính các công ty con ở nước ngoài,-,-,-,12.963.888.404,-,-,-,(1.528.619.915),11.435.268.489,,,,12963888404.0,,,,-1528619915.0,11435268489.0
- Giảm khác,Năm nay > - Giảm khác,- Giảm khác,-,-,-,-,-,-,(7.796.694.448),(1.232.578.993),(9.029.273.441),,,,,,,-7796694448.0,-1232578993.0,-9029273441.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.822.744.960.000,823.946.323.817,18.751.291.534,35.405.317.648,80.481.616.464,13.177.404.323,539.311.728.597,902.455.310.817,6.236.273.953.200,3822744960000.0,823946323817.0,18751291534.0,35405317648.0,80481616464.0,13177404323.0,539311728597.0,902455310817.0,6236273953200.0
