row_label_raw,row_label_full,Bên liên quan > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Mối quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Nội dung nghiệp vụ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Số đầu năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),numeric__Mối quan hệ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),numeric__Nội dung nghiệp vụ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),numeric__Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),numeric__Số đầu năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2)
Công ty Anbio,Công ty Anbio,Công ty Anbio,Công ty cùng lãnh đạo chủ chất,Mua hàng,3.953.928.750,-,,,3953928750.0,
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Mua hàng,-,6.762.298.003,,,,6762298003.0
Công ty VMC,Công ty VMC,Công ty VMC,Công ty cùng tập đoàn (tới ngày 25 tháng 9 năm 2024),Mua hàng,-,239.889.678,,,,239889678.0
Công ty An Trung,Công ty An Trung,Công ty An Trung,Công ty cùng tập đoàn (tới ngày 25 tháng 9 năm 2024),Mua hàng,-,137.484.864,,,,137484864.0
,,,,,3.953.928.750,7.139.672.545,,,3953928750.0,7139672545.0
Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),,,,
Công ty An Cường,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty An Cường,Công ty An Cường,Công ty cùng tập đoàn (tới ngày 25 tháng 9 năm 2024),Cho vay,-,27.000.000.000,,,,27000000000.0
Công ty An Phát Holdings,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Cho vay,-,14.000.000.000,,,,14000000000.0
,,,,,-,41.000.000.000,,,,41000000000.0
Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),,,,
Công ty An Phát Holdings,Phải thu về cho vay dài hạn (Thuyết minh số 8) > Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty mẹ,Cho vay,358.500.000.000,73.533.000.000,,,358500000000.0,73533000000.0
,,,,,358.500.000.000,73.533.000.000,,,358500000000.0,73533000000.0
