row_label_raw,row_label_full,Bên cho vay > Công ty TNHH MTV Cho thuê Tài chính Ngân hàng TMCP Ngoại thương Việt nam,Ngày 31 tháng 12 năm 2024 (VND) > 25.768.881.595,"Kỳ hạn trả gốc và lãi > Kỳ hạn vay từ 48 - 60 tháng, đáo hạn tháng 3 năm 2028. Gốc vay và lãi vay được trả định kỳ hàng tháng.","Lãi suất (%/năm) > 6,5% - 6,9%",numeric__Ngày 31 tháng 12 năm 2024 (VND) > 25.768.881.595,"numeric__Kỳ hạn trả gốc và lãi > Kỳ hạn vay từ 48 - 60 tháng, đáo hạn tháng 3 năm 2028. Gốc vay và lãi vay được trả định kỳ hàng tháng.","numeric__Lãi suất (%/năm) > 6,5% - 6,9%"
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Nợ dài hạn đến hạn trả,Trong đó: > Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,11.957.690.038,,,11957690038.0,,
Nợ dài hạn,Trong đó: > Nợ dài hạn,Nợ dài hạn,13.811.191.557,,,13811191557.0,,
