row_label_raw,row_label_full,col_0,Máy móc thiết bị,"Phương tiện vận tải, truyền dẫn",Đơn vị tính: VNDTổng cộng,numeric__Máy móc thiết bị,"numeric__Phương tiện vận tải, truyền dẫn",numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Số đầu năm,Số đầu năm,-,-,-,,,
- Tăng do mua công ty con,Số đầu năm > - Tăng do mua công ty con,- Tăng do mua công ty con,58.048.133.522,293.883.333,58.342.016.855,58048133522.0,293883333.0,58342016855.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,58.048.133.522,293.883.333,58.342.016.855,58048133522.0,293883333.0,58342016855.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết,Đã khấu hao hết,Đã khấu hao hết,-,-,-,,,
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Số đầu năm,Số đầu năm,-,-,-,,,
- Khấu hao trong năm,Số đầu năm > - Khấu hao trong năm,- Khấu hao trong năm,1.522.811.310,10.500.000,1.533.311.310,1522811310.0,10500000.0,1533311310.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,1.522.811.310,10.500.000,1.533.311.310,1522811310.0,10500000.0,1533311310.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Số đầu năm,Số đầu năm,-,-,-,,,
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,56.525.322.212,283.383.333,56.808.705.545,56525322212.0,283383333.0,56808705545.0
