row_label_raw,row_label_full,Giá trị đầu tư: > Số đầu năm > Tăng giá trị đầu tư > Giảm giá trị đầu tư,Công ty Nhựa Hà Nội > Giá trị đầu tư: > 1.014.494.728.614 > -,Công ty Nhựa bao bí Vinh > Giá trị đầu tư: > 74.316.719.775 > -,Công ty Sunrise > Giá trị đầu tư: > 24.000.000.000 > -,Công ty An Đông > Giá trị đầu tư: > 6.600.000.000 > -,Công ty Cổ phần ANCOP > Giá trị đầu tư: > 980.000.000 > - > (980.000.000),Công ty Cổ phần Giải pháp và Dịch vụ Phần mềm Nam Việt > Giá trị đầu tư: > 54.392.479.452 > 1.260.000.000 > -,Công ty Cổ phần Dịch vụ Suất ăn Công nghiệp An Phát > Giá trị đầu tư: > 44.400.000.000 > - > (187.500.000),Tổng cộng > Giá trị đầu tư: > 1.219.183.927.841 > 1.260.000.000 > (1.167.500.000),numeric__Công ty Nhựa Hà Nội > Giá trị đầu tư: > 1.014.494.728.614 > -,numeric__Công ty Nhựa bao bí Vinh > Giá trị đầu tư: > 74.316.719.775 > -,numeric__Công ty Sunrise > Giá trị đầu tư: > 24.000.000.000 > -,numeric__Công ty An Đông > Giá trị đầu tư: > 6.600.000.000 > -,numeric__Công ty Cổ phần ANCOP > Giá trị đầu tư: > 980.000.000 > - > (980.000.000),numeric__Công ty Cổ phần Giải pháp và Dịch vụ Phần mềm Nam Việt > Giá trị đầu tư: > 54.392.479.452 > 1.260.000.000 > -,numeric__Công ty Cổ phần Dịch vụ Suất ăn Công nghiệp An Phát > Giá trị đầu tư: > 44.400.000.000 > - > (187.500.000),numeric__Tổng cộng > Giá trị đầu tư: > 1.219.183.927.841 > 1.260.000.000 > (1.167.500.000)
Giảm do chuyển thành công ty con,Giảm do chuyển thành công ty con,Giảm do chuyển thành công ty con,(1.014.494.728.614),-,-,-,-,-,-,(1.014.494.728.614),-1014494728614.0,,,,,,,-1014494728614.0
Số cuối năm,Số cuối năm,Số cuối năm,-,74.316.719.775,24.000.000.000,6.600.000.000,-,55.652.479.452,44.212.500.000,204.781.699.227,,74316719775.0,24000000000.0,6600000000.0,,55652479452.0,44212500000.0,204781699227.0
Lợi nhuận từ công ty liên kết kể từ thời điểm mua:,Lợi nhuận từ công ty liên kết kể từ thời điểm mua:,Lợi nhuận từ công ty liên kết kể từ thời điểm mua:,Lợi nhuận từ công ty liên kết kể từ thời điểm mua:,Lợi nhuận từ công ty liên kết kể từ thời điểm mua:,Lợi nhuận từ công ty liên kết kể từ thời điểm mua:,Lợi nhuận từ công ty liên kết kể từ thời điểm mua:,Lợi nhuận từ công ty liên kết kể từ thời điểm mua:,Lợi nhuận từ công ty liên kết kể từ thời điểm mua:,Lợi nhuận từ công ty liên kết kể từ thời điểm mua:,Lợi nhuận từ công ty liên kết kể từ thời điểm mua:,,,,,,,,
Số đầu năm,Lợi nhuận từ công ty liên kết kể từ thời điểm mua: > Số đầu năm,Số đầu năm,97.407.901.419,5.630.744.639,4.478.189.987,-,-,(876.919.070),2.285.632.808,108.925.549.783,97407901419.0,5630744639.0,4478189987.0,,,-876919070.0,2285632808.0,108925549783.0
Phần lợi nhuận từ công ty liên kết,Lợi nhuận từ công ty liên kết kể từ thời điểm mua: > Phần lợi nhuận từ công ty liên kết,Phần lợi nhuận từ công ty liên kết,37.750.999.417,9.724.291.848,5.816.812.436,-,-,166.179.538,3.261.474.077,56.719.757.316,37750999417.0,9724291848.0,5816812436.0,,,166179538.0,3261474077.0,56719757316.0
Trích quỹ khen thưởng phúc lợi,Lợi nhuận từ công ty liên kết kể từ thời điểm mua: > Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,(7.074.387.824),(2.029.225.350),-,-,-,-,-,(9.103.613.174),-7074387824.0,-2029225350.0,,,,,,-9103613174.0
Cổ tức đã chia trong năm,Lợi nhuận từ công ty liên kết kể từ thời điểm mua: > Cổ tức đã chia trong năm,Cổ tức đã chia trong năm,(17.286.257.000),(4.703.974.200),-,-,-,(441.000.000),(4.252.500.000),(26.683.731.200),-17286257000.0,-4703974200.0,,,,-441000000.0,-4252500000.0,-26683731200.0
Giảm do chuyển thành công ty con,Lợi nhuận từ công ty liên kết kể từ thời điểm mua: > Giảm do chuyển thành công ty con,Giảm do chuyển thành công ty con,(110.798.256.012),-,-,-,-,-,-,(110.798.256.012),-110798256012.0,,,,,,,-110798256012.0
Số cuối năm,Lợi nhuận từ công ty liên kết kể từ thời điểm mua: > Số cuối năm,Số cuối năm,-,8.621.836.937,10.295.002.423,-,-,(1.151.739.532),1.294.606.885,19.059.706.713,,8621836937.0,10295002423.0,,,-1151739532.0,1294606885.0,19059706713.0
Tổng giá trị:,Tổng giá trị:,Tổng giá trị:,Tổng giá trị:,Tổng giá trị:,Tổng giá trị:,Tổng giá trị:,Tổng giá trị:,Tổng giá trị:,Tổng giá trị:,Tổng giá trị:,,,,,,,,
Số đầu năm,Tổng giá trị: > Số đầu năm,Số đầu năm,1.111.902.630.033,79.947.464.414,28.478.189.987,6.600.000.000,980.000.000,53.515.560.382,46.685.632.808,1.328.109.477.624,1111902630033.0,79947464414.0,28478189987.0,6600000000.0,980000000.0,53515560382.0,46685632808.0,1328109477624.0
Số cuối năm,Tổng giá trị: > Số cuối năm,Số cuối năm,-,82.938.556.712,34.295.002.423,6.600.000.000,-,54.500.739.920,45.507.106.885,223.841.405.940,,82938556712.0,34295002423.0,6600000000.0,,54500739920.0,45507106885.0,223841405940.0
