row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị có thể thu hồi được,Đơn vị tính: VND > Giá gốc,Đơn vị tính: VND > Giá trị có thể thu hồi được,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị có thể thu hồi được,numeric__Đơn vị tính: VND > Giá gốc,numeric__Đơn vị tính: VND > Giá trị có thể thu hồi được
Công ty TNHH Oriente de Polimeros,Công ty TNHH Oriente de Polimeros,Công ty TNHH Oriente de Polimeros,10.775.195.970,-,10.347.132.110,-,10775195970.0,,10347132110.0,
Công ty TNHH Sản xuất Thương mại Xuất nhập khẩu Phúc Hưng,Công ty TNHH Sản xuất Thương mại Xuất nhập khẩu Phúc Hưng,Công ty TNHH Sản xuất Thương mại Xuất nhập khẩu Phúc Hưng,8.338.103.600,-,8.338.103.600,-,8338103600.0,,8338103600.0,
Công ty Cổ phần Nhựa Xanh,Công ty Cổ phần Nhựa Xanh,Công ty Cổ phần Nhựa Xanh,7.336.923.344,3.668.461.672,-,-,7336923344.0,3668461672.0,,
Khác,Khác,Khác,11.917.331.091,2.526.506.202,7.754.841.365,1.324.092.500,11917331091.0,2526506202.0,7754841365.0,1324092500.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,38.367.554.005,6.194.967.874,26.440.077.075,1.324.092.500,38367554005.0,6194967874.0,26440077075.0,1324092500.0
