row_label_raw,row_label_full,Năm phát sinh,Có thể chuyển lỗ đến năm,Lỗ tính thuế (*),Tăng do mua công ty con,Đã chuyển lỗ đến ngày 31/12/2024,Không được chuyển lỗ,Chưa chuyển lỗ tại ngày 31/12/2024,numeric__Có thể chuyển lỗ đến năm,numeric__Lỗ tính thuế (*),numeric__Tăng do mua công ty con,numeric__Đã chuyển lỗ đến ngày 31/12/2024,numeric__Không được chuyển lỗ,numeric__Chưa chuyển lỗ tại ngày 31/12/2024
Không giới hạn thời gian chuyển lỗ,Không giới hạn thời gian chuyển lỗ,Không giới hạn thời gian chuyển lỗ,Không giới hạn thời gian chuyển lỗ,Không giới hạn thời gian chuyển lỗ,Không giới hạn thời gian chuyển lỗ,Không giới hạn thời gian chuyển lỗ,Không giới hạn thời gian chuyển lỗ,Không giới hạn thời gian chuyển lỗ,,,,,,
2020,Không giới hạn thời gian chuyển lỗ > 2020,2020,,25.038.430.320,-,(8.571.343.471),-,16.467.086.849,,25038430320.0,,-8571343471.0,,16467086849.0
2021,Không giới hạn thời gian chuyển lỗ > 2021,2021,,28.896.206.640,-,-,-,28.896.206.640,,28896206640.0,,,,28896206640.0
2022,Không giới hạn thời gian chuyển lỗ > 2022,2022,,96.699.103.351,-,-,-,96.699.103.351,,96699103351.0,,,,96699103351.0
2023,Không giới hạn thời gian chuyển lỗ > 2023,2023,,80.537.696.064,-,-,-,80.537.696.064,,80537696064.0,,,,80537696064.0
Thời gian chuyển lỗ 10 năm,Thời gian chuyển lỗ 10 năm,Thời gian chuyển lỗ 10 năm,Thời gian chuyển lỗ 10 năm,Thời gian chuyển lỗ 10 năm,Thời gian chuyển lỗ 10 năm,Thời gian chuyển lỗ 10 năm,Thời gian chuyển lỗ 10 năm,Thời gian chuyển lỗ 10 năm,,,,,,
2019,Thời gian chuyển lỗ 10 năm > 2019,2019,2029,13.861.696.842,-,-,-,13.861.696.842,2029.0,13861696842.0,,,,13861696842.0
2020,Thời gian chuyển lỗ 10 năm > 2020,2020,2030,13.767.491.104,-,-,-,13.767.491.104,2030.0,13767491104.0,,,,13767491104.0
2021,Thời gian chuyển lỗ 10 năm > 2021,2021,2031,27.768.773.431,-,-,-,27.768.773.431,2031.0,27768773431.0,,,,27768773431.0
2022,Thời gian chuyển lỗ 10 năm > 2022,2022,2032,17.163.881.924,-,-,-,17.163.881.924,2032.0,17163881924.0,,,,17163881924.0
2023,Thời gian chuyển lỗ 10 năm > 2023,2023,2033,9.070.560.815,-,-,-,9.070.560.815,2033.0,9070560815.0,,,,9070560815.0
2024,Thời gian chuyển lỗ 10 năm > 2024,2024,2034,8.857.779.873,-,-,-,8.857.779.873,2034.0,8857779873.0,,,,8857779873.0
Thời gian chuyển lỗ 5 năm,Thời gian chuyển lỗ 5 năm,Thời gian chuyển lỗ 5 năm,Thời gian chuyển lỗ 5 năm,Thời gian chuyển lỗ 5 năm,Thời gian chuyển lỗ 5 năm,Thời gian chuyển lỗ 5 năm,Thời gian chuyển lỗ 5 năm,Thời gian chuyển lỗ 5 năm,,,,,,
2022,Thời gian chuyển lỗ 5 năm > 2022,2022,2027,203.129.531.994,-,(115.755.766.367),-,87.373.765.627,2027.0,203129531994.0,,-115755766367.0,,87373765627.0
2023,Thời gian chuyển lỗ 5 năm > 2023,2023,2028,44.248.020.042,18.429.954.500,(10.566.033.169),-,52.111.941.373,2028.0,44248020042.0,18429954500.0,-10566033169.0,,52111941373.0
2024,Thời gian chuyển lỗ 5 năm > 2024,2024,2029,7.757.603.859,1.562.213.914,-,-,9.319.817.773,2029.0,7757603859.0,1562213914.0,,,9319817773.0
TỔNG CỘNG,Thời gian chuyển lỗ 5 năm > TỔNG CỘNG,TỔNG CỘNG,,576.796.776.259,19.992.168.414,(134.893.143.007),-,461.895.801.666,,576796776259.0,19992168414.0,-134893143007.0,,461895801666.0
