row_label_raw,row_label_full,col_0,Hoạt động sản xuất,Hoạt động kinh doanh thương mại,"Kinh doanh nhà xuống, cho thuê đất và hạ tầng khu công nghiệp",Hoạt động khác,Điều chỉnh và loại trừ,Tổng cộng,numeric__Hoạt động sản xuất,numeric__Hoạt động kinh doanh thương mại,"numeric__Kinh doanh nhà xuống, cho thuê đất và hạ tầng khu công nghiệp",numeric__Hoạt động khác,numeric__Điều chỉnh và loại trừ,numeric__Tổng cộng
Cho năm tài chính kết thúc cùng ngày,Cho năm tài chính kết thúc cùng ngày,Cho năm tài chính kết thúc cùng ngày,Cho năm tài chính kết thúc cùng ngày,Cho năm tài chính kết thúc cùng ngày,Cho năm tài chính kết thúc cùng ngày,Cho năm tài chính kết thúc cùng ngày,Cho năm tài chính kết thúc cùng ngày,Cho năm tài chính kết thúc cùng ngày,,,,,,
Doanh thu từ bán hàng ra bên ngoài,Cho năm tài chính kết thúc cùng ngày > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,5.474.079.050.963,6.903.836.172.390,141.237.709.840,263.077.627.855,,12.782.230.561.048,5474079050963.0,6903836172390.0,141237709840.0,263077627855.0,,12782230561048.0
Doanh thu từ bán hàng cho các bộ phận,Cho năm tài chính kết thúc cùng ngày > Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,173.023.855.288,411.285.962.486,6.478.337.709,178.100.264.345,(768.888.419.828),-,173023855288.0,411285962486.0,6478337709.0,178100264345.0,-768888419828.0,
Tổng doanh thu,Cho năm tài chính kết thúc cùng ngày > Tổng doanh thu,Tổng doanh thu,5.647.102.906.251,7.315.122.134.876,147.716.047.549,441.177.892.200,(768.888.419.828),12.782.230.561.048,5647102906251.0,7315122134876.0,147716047549.0,441177892200.0,-768888419828.0,12782230561048.0
Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm,,,,,,
Tài sản cố định hữu hình,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm > Tài sản cố định hữu hình,Tài sản cố định hữu hình,155.951.235.539,223.891.211.717,1.644.018.182,2.599.628.212,,384.086.093.650,155951235539.0,223891211717.0,1644018182.0,2599628212.0,,384086093650.0
Tài sản cố định vô hình,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm > Tài sản cố định vô hình,Tài sản cố định vô hình,1.116.902.301,1.603.479.502,-,18.618.197,,2.739.000.000,1116902301.0,1603479502.0,,18618197.0,,2739000000.0
Chi phí xây dựng cơ bản dở dang,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,80.129.132.114,115.037.296.247,1.024.720.786.395,1.335.712.101,,1.221.222.926.857,80129132114.0,115037296247.0,1024720786395.0,1335712101.0,,1221222926857.0
Bắt động sản đầu tư,Chi phí mua sắm tài sản cố định và xây dựng cơ bản tăng trong năm > Bắt động sản đầu tư,Bắt động sản đầu tư,-,-,1.347.753.515,-,,1.347.753.515,,,1347753515.0,,,1347753515.0
Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,Vào ngày 31 tháng 12 năm 2024,,,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,,
Tài sản bộ phận,Các thông tin bộ phận khác > Tài sản bộ phận,Tài sản bộ phận,2.569.289.916.791,3.240.354.496.119,3.282.583.319.041,123.476.970.334,(89.579.438.272),9.126.125.264.013,2569289916791.0,3240354496119.0,3282583319041.0,123476970334.0,-89579438272.0,9126125264013.0
Tài sản không phân bổ (iv),Các thông tin bộ phận khác > Tài sản không phân bổ (iv),Tài sản không phân bổ (iv),,,,,,4.642.090.320.442,,,,,,4642090320442.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,,,13.768.215.584.455,,,,,,13768215584455.0
