row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Gia súc,Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Gia súc,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,55.024.111.999,48.641.568.091,21.072.443.634,1.539.830.447,31.206.058.630,157.484.012.801,55024111999.0,48641568091.0,21072443634.0,1539830447.0,31206058630.0,157484012801.0
Phân loại lại,Nguyên giá: > Phân loại lại,Phân loại lại,24.977.697.198,(24.850.983.798),(222.251.634),95.538.234,-,-,24977697198.0,-24850983798.0,-222251634.0,95538234.0,,
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,18.385.773.058,7.657.035.899,28.536.519.142,1.833.843.210,278.665.982,56.691.837.291,18385773058.0,7657035899.0,28536519142.0,1833843210.0,278665982.0,56691837291.0
Xây dựng cơ bản dở dang hoàn thành,Nguyên giá: > Xây dựng cơ bản dở dang hoàn thành,Xây dựng cơ bản dở dang hoàn thành,3.791.742.614,4.526.934.846,-,-,-,8.318.677.460,3791742614.0,4526934846.0,,,,8318677460.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(3.120.786.377),(2.132.738.224),-,-,(22.052.201.003),(27.305.725.604),-3120786377.0,-2132738224.0,,,-22052201003.0,-27305725604.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,99.058.538.492,33.841.816.814,49.386.711.142,3.469.211.891,9.432.523.609,195.188.801.948,99058538492.0,33841816814.0,49386711142.0,3469211891.0,9432523609.0,195188801948.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,1.291.706.849,1.548.866.110,-,-,-,2.840.572.959,1291706849.0,1548866110.0,,,,2840572959.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(11.316.811.003),(9.293.213.795),(5.909.964.009),(613.467.008),(10.734.906.797),(37.868.362.612),-11316811003.0,-9293213795.0,-5909964009.0,-613467008.0,-10734906797.0,-37868362612.0
Phân loại lại,Giá trị khấu hao lũy kế: > Phân loại lại,Phân loại lại,(3.970.443.997),3.895.388.605,34.377.867,40.677.485,40,-,-3970443997.0,3895388605.0,34377867.0,40677485.0,40.0,
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,(10.228.511.819),(3.621.339.007),(3.906.159.826),(373.206.065),(4.616.283.214),(22.745.499.931),-10228511819.0,-3621339007.0,-3906159826.0,-373206065.0,-4616283214.0,-22745499931.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,2.314.516,48.877.799,-,-,10.488.693.660,10.539.885.975,2314516.0,48877799.0,,,10488693660.0,10539885975.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(25.513.452.303),(8.970.286.398),(9.781.745.968),(945.995.588),(4.862.496.311),(50.073.976.568),-25513452303.0,-8970286398.0,-9781745968.0,-945995588.0,-4862496311.0,-50073976568.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,43.707.300.996,39.348.354.296,15.162.479.625,926.363.439,20.471.151.833,119.615.650.189,43707300996.0,39348354296.0,15162479625.0,926363439.0,20471151833.0,119615650189.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,73.545.086.189,24.871.530.416,39.604.965.174,2.523.216.303,4.570.027.298,145.114.825.380,73545086189.0,24871530416.0,39604965174.0,2523216303.0,4570027298.0,145114825380.0
Trong đó:Tải sản thể chấp(Thuyết minh số 22),Giá trị còn lại: > Trong đó:Tải sản thể chấp(Thuyết minh số 22),Trong đó:Tải sản thể chấp(Thuyết minh số 22),-,-,31.075.000.000,-,-,31.075.000.000,,,31075000000.0,,,31075000000.0
