row_label_raw,row_label_full,"Đầu tư vào công ty con(Thuyết minh số 15.1) > Đầu tư vào công ty liên doanh,liên kết (Thuyết minh số 15.2) > Đầu tư vào đơn vị khác(Thuyết minh số 15.3)",Số cuối năm > Giá gốc > 1.000.682.039.781 > - > 29.400.000.000,Số cuối năm > Dự phòng > (12.024.249.276) > -,Số cuối năm > Giá trị hợp lý > 988.657.790.505 > - > 29.400.000.000,Số đầu năm(Trình bày lại – Thuyết minh số 32) > Giá gốc > 650.380.000.000 > 44.383.824.894 > -,Số đầu năm(Trình bày lại – Thuyết minh số 32) > Dự phòng > (15.939.371.642) > (880.258.064) > -,Số đầu năm(Trình bày lại – Thuyết minh số 32) > Giá trị hợp lý > 634.440.628.358 > 43.503.566.830 > -,numeric__Số cuối năm > Giá gốc > 1.000.682.039.781 > - > 29.400.000.000,numeric__Số cuối năm > Dự phòng > (12.024.249.276) > -,numeric__Số cuối năm > Giá trị hợp lý > 988.657.790.505 > - > 29.400.000.000,numeric__Số đầu năm(Trình bày lại – Thuyết minh số 32) > Giá gốc > 650.380.000.000 > 44.383.824.894 > -,numeric__Số đầu năm(Trình bày lại – Thuyết minh số 32) > Dự phòng > (15.939.371.642) > (880.258.064) > -,numeric__Số đầu năm(Trình bày lại – Thuyết minh số 32) > Giá trị hợp lý > 634.440.628.358 > 43.503.566.830 > -
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.030.082.039.781,(12.024.249.276),1.018.057.790.505,694.763.824.894,(16.819.629.706),677.944.195.188,1030082039781.0,-12024249276.0,1018057790505.0,694763824894.0,-16819629706.0,677944195188.0
15.1 Đầu tư vào các công ty con,15.1 Đầu tư vào các công ty con,15.1 Đầu tư vào các công ty con,15.1 Đầu tư vào các công ty con,15.1 Đầu tư vào các công ty con,15.1 Đầu tư vào các công ty con,15.1 Đầu tư vào các công ty con,15.1 Đầu tư vào các công ty con,15.1 Đầu tư vào các công ty con,,,,,,
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
,,,Tỷ lệ vốn nấmgiữ(%),Giá gốcVND,Dự phòngVND,Tỷ lệ vốn nấmgiữ(%),Giá gốcVND,Dự phòngVND,,,,,,
BAF Tây Ninh,15.1 Đầu tư vào các công ty con > BAF Tây Ninh,BAF Tây Ninh,"99,00%",148.500.000.000,-,"99,00%",148.500.000.000,(698.087.584),0.99,148500000000.0,,0.99,148500000000.0,-698087584.0
BAF Meat Bình Phước (i),15.1 Đầu tư vào các công ty con > BAF Meat Bình Phước (i),BAF Meat Bình Phước (i),"100,00%",120.000.000.000,-,-,-,-,1.0,120000000000.0,,,,
Hải Đăng Tây Ninh,15.1 Đầu tư vào các công ty con > Hải Đăng Tây Ninh,Hải Đăng Tây Ninh,"99,40%",119.280.000.000,-,"99,4%",119.280.000.000,(644.740.371),0.9940000000000001,119280000000.0,,0.9940000000000001,119280000000.0,-644740371.0
Chăn nuôi Kim Hội (ii),15.1 Đầu tư vào các công ty con > Chăn nuôi Kim Hội (ii),Chăn nuôi Kim Hội (ii),"99,90%",95.339.118.071,-,-,-,-,0.9990000000000001,95339118071.0,,,,
BAF Bình Định,15.1 Đầu tư vào các công ty con > BAF Bình Định,BAF Bình Định,"98,00%",78.400.000.000,-,"98,00%",78.400.000.000,-,0.98,78400000000.0,,0.98,78400000000.0,
Thiên Phú Sơn (iii),15.1 Đầu tư vào các công ty con > Thiên Phú Sơn (iii),Thiên Phú Sơn (iii),"100,00%",64.183.771.710,-,-,-,-,1.0,64183771710.0,,,,
Anh Vũ Phú Yên,15.1 Đầu tư vào các công ty con > Anh Vũ Phú Yên,Anh Vũ Phú Yên,"100,00%",50.000.000.000,-,"100,00%",50.000.000.000,(2.018.873.662),1.0,50000000000.0,,1.0,50000000000.0,-2018873662.0
Chăn nuôi Minh Thành,15.1 Đầu tư vào các công ty con > Chăn nuôi Minh Thành,Chăn nuôi Minh Thành,"98,00%",49.000.000.000,-,"98,00%",49.000.000.000,-,0.98,49000000000.0,,0.98,49000000000.0,
Sông Hinh,15.1 Đầu tư vào các công ty con > Sông Hinh,Sông Hinh,"100,00%",48.000.000.000,-,"100,00%",48.000.000.000,,1.0,48000000000.0,,1.0,48000000000.0,
Tâm Hưng (iv),15.1 Đầu tư vào các công ty con > Tâm Hưng (iv),Tâm Hưng (iv),"99,00%",29.970.000.000,-,-,-,-,0.99,29970000000.0,,,,
Trang Trại Xanh 1,15.1 Đầu tư vào các công ty con > Trang Trại Xanh 1,Trang Trại Xanh 1,"98,00%",39.200.000.000,-,"98,00%",39.200.000.000,(2.423.825.974),0.98,39200000000.0,,0.98,39200000000.0,-2423825974.0
Bắc An Khánh,15.1 Đầu tư vào các công ty con > Bắc An Khánh,Bắc An Khánh,"98,00%",39.200.000.000,-,"98,00%",39.200.000.000,(684.202.636),0.98,39200000000.0,,0.98,39200000000.0,-684202636.0
