row_label_raw,row_label_full,col_0,Năm trước(trình bày trước đây),Ảnh hưởng củadiều chỉnh lại,Năm trước(đã điều chỉnh lại),numeric__Năm trước(trình bày trước đây),numeric__Ảnh hưởng củadiều chỉnh lại,numeric__Năm trước(đã điều chỉnh lại)
Giảm các khoản phải thu,Giảm các khoản phải thu,Giảm các khoản phải thu,705.904.595.983,(50.000.000.000),655.904.595.983,705904595983.0,-50000000000.0,655904595983.0
Tiền và tương đương tiềnđầu năm,Tiền và tương đương tiềnđầu năm,Tiền và tương đương tiềnđầu năm,113.989.076.918,(50.000.000.000),63.989.076.918,113989076918.0,-50000000000.0,63989076918.0
