row_label_raw,row_label_full,col_0,Số cuối năm > Tỷ lệ vốnnăm giữ(%),Số cuối năm > Giá trị(VND),Số đầu năm(Trình bày lại -Thuyết minh số 32) > Tỷ lệ vốnnăm giữ(%),Số đầu năm(Trình bày lại -Thuyết minh số 32) > Giá trị(VND),numeric__Số cuối năm > Tỷ lệ vốnnăm giữ(%),numeric__Số cuối năm > Giá trị(VND),numeric__Số đầu năm(Trình bày lại -Thuyết minh số 32) > Tỷ lệ vốnnăm giữ(%),numeric__Số đầu năm(Trình bày lại -Thuyết minh số 32) > Giá trị(VND)
Myanmar BAF Live Stock Company Limited (i),Myanmar BAF Live Stock Company Limited (i),Myanmar BAF Live Stock Company Limited (i),-,-,"21,47",14.983.824.894,,,21.47,14983824894.0
Công ty Cổ phần Siba Food Việt Nam (ii),Công ty Cổ phần Siba Food Việt Nam (ii),Công ty Cổ phần Siba Food Việt Nam (ii),-,-,"43,24",29.400.000.000,,,43.24,29400000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,-,,44.383.824.894,,,,44383824894.0
