row_label_raw,row_label_full,col_0,Chức vụ,Năm nay,VNDNăm trước,numeric__Chức vụ,numeric__Năm nay,numeric__VNDNăm trước
Ông Trương Sỹ Bá,Ông Trương Sỹ Bá,Ông Trương Sỹ Bá,Chủ tịch HĐQT,85.500.000,-,,85500000.0,
Bà Bùi Hương Giang,Bà Bùi Hương Giang,Bà Bùi Hương Giang,TV HĐQT kiểm TGD,673.525.535,519.500.000,,673525535.0,519500000.0
Ông Phan Ngọc float,Ông Phan Ngọc float,Ông Phan Ngọc float,TV HĐQT kiểm Phó TGD,690.010.101,518.236.000,,690010101.0,518236000.0
Ông Bùi Quang Huy,Ông Bùi Quang Huy,Ông Bùi Quang Huy,TV HĐQT,64.800.000,-,,64800000.0,
Ông Lê Xuân Thọ,Ông Lê Xuân Thọ,Ông Lê Xuân Thọ,TV HĐQT,64.800.000,-,,64800000.0,
Ông Nguyễn Anh Tuấn,Ông Nguyễn Anh Tuấn,Ông Nguyễn Anh Tuấn,TV HĐQT,13.500.000,-,,13500000.0,
Ông Nguyễn Tiến Thành,Ông Nguyễn Tiến Thành,Ông Nguyễn Tiến Thành,Phó TGD thường trực,218.439.457,-,,218439457.0,
Ông Nguyễn Thanh Hải,Ông Nguyễn Thanh Hải,Ông Nguyễn Thanh Hải,Trưởng BKS,375.678.874,264.700.000,,375678874.0,264700000.0
Bà Dương Thị Hồng Tân,Bà Dương Thị Hồng Tân,Bà Dương Thị Hồng Tân,Thành viên BKS,313.820.994,232.250.000,,313820994.0,232250000.0
Ông Nguyễn Quốc Văn,Ông Nguyễn Quốc Văn,Ông Nguyễn Quốc Văn,Thành viên BKS,361.092.610,260.835.000,,361092610.0,260835000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,2.861.167.571,1.795.521.000,,2861167571.0,1795521000.0
