row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,Tổng cộng_1,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng,numeric__Tổng cộng_1
Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,,,,,
Số đầu năm,Năm trước: > Số đầu năm,Số đầu năm,500.000.000.000,-,65.706.243.800,565.706.243.800,565.706.243.800,500000000000.0,,65706243800.0,565706243800.0,565706243800.0
Tăng vốn trong năm bằng tiền,Năm trước: > Tăng vốn trong năm bằng tiền,Tăng vốn trong năm bằng tiền,280.000.000.000,279.844.500.000,-,559.844.500.000,559.844.500.000,280000000000.0,279844500000.0,,559844500000.0,559844500000.0
Lợi nhuận thuần trong năm,Năm trước: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,311.530.020.783,311.530.020.783,311.530.020.783,,,311530020783.0,311530020783.0,311530020783.0
Số cuối năm,Năm trước: > Số cuối năm,Số cuối năm,780.000.000.000,279.844.500.000,377.236.264.583,1.437.080.764.583,1.437.080.764.583,780000000000.0,279844500000.0,377236264583.0,1437080764583.0,1437080764583.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,780.000.000.000,279.844.500.000,377.236.264.583,1.437.080.764.583,1.437.080.764.583,780000000000.0,279844500000.0,377236264583.0,1437080764583.0,1437080764583.0
Phát hành cổ phiếu thường (*),Năm nay: > Phát hành cổ phiếu thường (*),Phát hành cổ phiếu thường (*),304.200.000.000,(279.844.500.000),(24.355.500.000),-,-,304200000000.0,-279844500000.0,-24355500000.0,,
Phát hành cổ phiếu trả cổ tức (**),Năm nay: > Phát hành cổ phiếu trả cổ tức (**),Phát hành cổ phiếu trả cổ tức (**),351.000.000.000,-,(351.000.000.000),-,-,351000000000.0,,-351000000000.0,,
Lợi nhuận thuần trong năm,Năm nay: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,244.842.328.636,244.842.328.636,244.842.328.636,,,244842328636.0,244842328636.0,244842328636.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,1.435.200.000.000,-,246.723.093.219,1.681.923.093.219,1.681.923.093.219,1435200000000.0,,246723093219.0,1681923093219.0,1681923093219.0
"(*) Theo Nghị quyết Đại hội đồng Cổ đông (“NQĐHĐCD”) số 15.03.2022/NQ-ĐHĐCD ngày 15 tháng 3 năm 2022 thông qua phương án phát hành cổ phiếu thường cho cổ đông hiện hữu theo tỷ lệ 1:0,39 từ nguồn thẳng dư vốn cổ phần và lợi nhuận sau thuế chưa phân phối, Công ty đã hoàn tất việc phát hành thêm 30.420.000 cổ phiếu vào ngày 24 tháng 5 năm 2022.","(*) Theo Nghị quyết Đại hội đồng Cổ đông (“NQĐHĐCD”) số 15.03.2022/NQ-ĐHĐCD ngày 15 tháng 3 năm 2022 thông qua phương án phát hành cổ phiếu thường cho cổ đông hiện hữu theo tỷ lệ 1:0,39 từ nguồn thẳng dư vốn cổ phần và lợi nhuận sau thuế chưa phân phối, Công ty đã hoàn tất việc phát hành thêm 30.420.000 cổ phiếu vào ngày 24 tháng 5 năm 2022.","(*) Theo Nghị quyết Đại hội đồng Cổ đông (“NQĐHĐCD”) số 15.03.2022/NQ-ĐHĐCD ngày 15 tháng 3 năm 2022 thông qua phương án phát hành cổ phiếu thường cho cổ đông hiện hữu theo tỷ lệ 1:0,39 từ nguồn thẳng dư vốn cổ phần và lợi nhuận sau thuế chưa phân phối, Công ty đã hoàn tất việc phát hành thêm 30.420.000 cổ phiếu vào ngày 24 tháng 5 năm 2022.","(*) Theo Nghị quyết Đại hội đồng Cổ đông (“NQĐHĐCD”) số 15.03.2022/NQ-ĐHĐCD ngày 15 tháng 3 năm 2022 thông qua phương án phát hành cổ phiếu thường cho cổ đông hiện hữu theo tỷ lệ 1:0,39 từ nguồn thẳng dư vốn cổ phần và lợi nhuận sau thuế chưa phân phối, Công ty đã hoàn tất việc phát hành thêm 30.420.000 cổ phiếu vào ngày 24 tháng 5 năm 2022.","(*) Theo Nghị quyết Đại hội đồng Cổ đông (“NQĐHĐCD”) số 15.03.2022/NQ-ĐHĐCD ngày 15 tháng 3 năm 2022 thông qua phương án phát hành cổ phiếu thường cho cổ đông hiện hữu theo tỷ lệ 1:0,39 từ nguồn thẳng dư vốn cổ phần và lợi nhuận sau thuế chưa phân phối, Công ty đã hoàn tất việc phát hành thêm 30.420.000 cổ phiếu vào ngày 24 tháng 5 năm 2022.","(*) Theo Nghị quyết Đại hội đồng Cổ đông (“NQĐHĐCD”) số 15.03.2022/NQ-ĐHĐCD ngày 15 tháng 3 năm 2022 thông qua phương án phát hành cổ phiếu thường cho cổ đông hiện hữu theo tỷ lệ 1:0,39 từ nguồn thẳng dư vốn cổ phần và lợi nhuận sau thuế chưa phân phối, Công ty đã hoàn tất việc phát hành thêm 30.420.000 cổ phiếu vào ngày 24 tháng 5 năm 2022.","(*) Theo Nghị quyết Đại hội đồng Cổ đông (“NQĐHĐCD”) số 15.03.2022/NQ-ĐHĐCD ngày 15 tháng 3 năm 2022 thông qua phương án phát hành cổ phiếu thường cho cổ đông hiện hữu theo tỷ lệ 1:0,39 từ nguồn thẳng dư vốn cổ phần và lợi nhuận sau thuế chưa phân phối, Công ty đã hoàn tất việc phát hành thêm 30.420.000 cổ phiếu vào ngày 24 tháng 5 năm 2022.","(*) Theo Nghị quyết Đại hội đồng Cổ đông (“NQĐHĐCD”) số 15.03.2022/NQ-ĐHĐCD ngày 15 tháng 3 năm 2022 thông qua phương án phát hành cổ phiếu thường cho cổ đông hiện hữu theo tỷ lệ 1:0,39 từ nguồn thẳng dư vốn cổ phần và lợi nhuận sau thuế chưa phân phối, Công ty đã hoàn tất việc phát hành thêm 30.420.000 cổ phiếu vào ngày 24 tháng 5 năm 2022.",,,,,
"(**) Theo NQĐHĐCD số 15.03.2022/NQ-ĐHĐCD ngày 15 tháng 3 năm 2022 thông qua phương án phát hành cổ phiếu để chi trả cổ tức cho cổ đông hiện hữu theo tỷ lệ 1:0,45 từ nguồn lợi nhuận sau thuế chưa phân phối, Công ty đã hoàn tất việc phát hành thêm 35.100.000 cổ phiếu vào ngày 24 tháng 5 năm 2022.","(**) Theo NQĐHĐCD số 15.03.2022/NQ-ĐHĐCD ngày 15 tháng 3 năm 2022 thông qua phương án phát hành cổ phiếu để chi trả cổ tức cho cổ đông hiện hữu theo tỷ lệ 1:0,45 từ nguồn lợi nhuận sau thuế chưa phân phối, Công ty đã hoàn tất việc phát hành thêm 35.100.000 cổ phiếu vào ngày 24 tháng 5 năm 2022.","(**) Theo NQĐHĐCD số 15.03.2022/NQ-ĐHĐCD ngày 15 tháng 3 năm 2022 thông qua phương án phát hành cổ phiếu để chi trả cổ tức cho cổ đông hiện hữu theo tỷ lệ 1:0,45 từ nguồn lợi nhuận sau thuế chưa phân phối, Công ty đã hoàn tất việc phát hành thêm 35.100.000 cổ phiếu vào ngày 24 tháng 5 năm 2022.","(**) Theo NQĐHĐCD số 15.03.2022/NQ-ĐHĐCD ngày 15 tháng 3 năm 2022 thông qua phương án phát hành cổ phiếu để chi trả cổ tức cho cổ đông hiện hữu theo tỷ lệ 1:0,45 từ nguồn lợi nhuận sau thuế chưa phân phối, Công ty đã hoàn tất việc phát hành thêm 35.100.000 cổ phiếu vào ngày 24 tháng 5 năm 2022.","(**) Theo NQĐHĐCD số 15.03.2022/NQ-ĐHĐCD ngày 15 tháng 3 năm 2022 thông qua phương án phát hành cổ phiếu để chi trả cổ tức cho cổ đông hiện hữu theo tỷ lệ 1:0,45 từ nguồn lợi nhuận sau thuế chưa phân phối, Công ty đã hoàn tất việc phát hành thêm 35.100.000 cổ phiếu vào ngày 24 tháng 5 năm 2022.","(**) Theo NQĐHĐCD số 15.03.2022/NQ-ĐHĐCD ngày 15 tháng 3 năm 2022 thông qua phương án phát hành cổ phiếu để chi trả cổ tức cho cổ đông hiện hữu theo tỷ lệ 1:0,45 từ nguồn lợi nhuận sau thuế chưa phân phối, Công ty đã hoàn tất việc phát hành thêm 35.100.000 cổ phiếu vào ngày 24 tháng 5 năm 2022.","(**) Theo NQĐHĐCD số 15.03.2022/NQ-ĐHĐCD ngày 15 tháng 3 năm 2022 thông qua phương án phát hành cổ phiếu để chi trả cổ tức cho cổ đông hiện hữu theo tỷ lệ 1:0,45 từ nguồn lợi nhuận sau thuế chưa phân phối, Công ty đã hoàn tất việc phát hành thêm 35.100.000 cổ phiếu vào ngày 24 tháng 5 năm 2022.","(**) Theo NQĐHĐCD số 15.03.2022/NQ-ĐHĐCD ngày 15 tháng 3 năm 2022 thông qua phương án phát hành cổ phiếu để chi trả cổ tức cho cổ đông hiện hữu theo tỷ lệ 1:0,45 từ nguồn lợi nhuận sau thuế chưa phân phối, Công ty đã hoàn tất việc phát hành thêm 35.100.000 cổ phiếu vào ngày 24 tháng 5 năm 2022.",,,,,
