row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước(Trình bày lại – Thuyết minh số 32),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước(Trình bày lại – Thuyết minh số 32)
,,,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,Tổng lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:,,298.264.152.095,377.688.944.961,,,298264152095.0,377688944961.0
02,02,02,Khấu hao tài sản cố định hữu hình và bất động sản đầu tư và hao mòn tài sản cố định vô hình,"11, 12, 13",23.362.268.303(8.407.903.105),23.416.957.55222.885.648.778,,,,2.3416957552228856e+21
03,03,03,(Hoàn nhập dự phòng) dự phòng,,,,,,,
05,03 > 05,05,Lãi từ hoạt động đầu tư,24.2,(19.123.401.417),(16.895.569.276),,242.0,-19123401417.0,-16895569276.0
06,03 > 06,06,Chi phí lãi vay,25,32.020.113.198,4.488.772.605,,25.0,32020113198.0,4488772605.0
08,03 > 08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,326.115.229.074,411.584.754.620,,,326115229074.0,411584754620.0
09,03 > 09,09,Giảm các khoản phải thu,,2.192.235.574.751,655.904.595.983,,,2192235574751.0,655904595983.0
10,03 > 10,10,Giảm (tăng) hàng tồn kho,,309.214.811.331,(51.167.791.440),,,309214811331.0,-51167791440.0
11,03 > 11,11,Giảm các khoản phải trả,,(2.699.108.997.743),(731.069.834.405),,,-2699108997743.0,-731069834405.0
12,03 > 12,12,(Tăng) giảm chi phí trả trước,,(58.093.361.342),2.918.681.083,,,-58093361342.0,2918681083.0
13,03 > 13,13,Giảm (tăng) chứng khoán kinh doanh,,65.097.500.000,(65.097.500.000),,,65097500000.0,-65097500000.0
14,03 > 14,14,Tiền lãi vay đã trả,,(10.033.598.375),(1.325.819.180),,,-10033598375.0,-1325819180.0
15,03 > 15,15,Thuế thu nhập doanh nghiệp đã nộp,19,(17.816.671.695),(63.433.657.343),,19.0,-17816671695.0,-63433657343.0
20,03 > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,107.610.486.001,158.313.429.318,,,107610486001.0,158313429318.0
,,,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
21,03 > 21,21,"Tiền chi để mua sắm, xây dựng tài sản cố định",,(95.133.965.687),(174.014.906.932),,,-95133965687.0,-174014906932.0
22,03 > 22,22,Tiền thu do thanh lý tài sản cố định,,-,21.811.216.150,,,,21811216150.0
23,03 > 23,23,Tiền chi cho vay và gửi ngân hàng,,(453.167.459.655),(262.101.701.949),,,-453167459655.0,-262101701949.0
24,03 > 24,24,Tiền thu hồi cho vay,,190.213.384.692,149.416.593.000,,,190213384692.0,149416593000.0
25,03 > 25,25,Tiền chi đầu tư góp vốn vào đơn vị khác,,(317.545.826.339),(541.080.000.000),,,-317545826339.0,-541080000000.0
26,03 > 26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,14.983.824.894,1.200.000.000,,,14983824894.0,1200000000.0
27,03 > 27,27,"Lãi tiền gửi, lãi cho vay và cổ tức nhận được",,2.402.748.670,4.266.727.073,,,2402748670.0,4266727073.0
30,03 > 30,30,Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,,(658.247.293.425),(800.502.072.658),,,-658247293425.0,-800502072658.0
,,,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
31,03 > 31,31,Tiền thu từ phát hành cổ phiếu,,-,559.844.500.000,,,,559844500000.0
33,03 > 33,33,Tiền thu từ đi vay,22,802.981.388.150,222.321.942.000,,22.0,802981388150.0,222321942000.0
34,03 > 34,34,Tiền chi trả nợ gốc vay,22,(196.770.644.150),(83.400.000.000),,22.0,-196770644150.0,-83400000000.0
40,03 > 40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,606.210.744.000,698.766.442.000,,,606210744000.0,698766442000.0
