row_label_raw,row_label_full,col_0,Số cuối năm,VND > Số đầu năm(Trình bày lại –Thuyết minh số 32),numeric__Số cuối năm,numeric__VND > Số đầu năm(Trình bày lại –Thuyết minh số 32)
Phải thu các bên khác,Phải thu các bên khác,Phải thu các bên khác,494.327.100.121,2.529.270.160.846,494327100121.0,2529270160846.0
Công ty Cổ phần Nông nghiệp Việt Phi,Công ty Cổ phần Nông nghiệp Việt Phi,Công ty Cổ phần Nông nghiệp Việt Phi,200.125.316.800,83.068.554.050,200125316800.0,83068554050.0
Công ty TNHH Đầu tư và Thương mại XuấtNhập Khẩu Tân Thành Nam,Công ty TNHH Đầu tư và Thương mại XuấtNhập Khẩu Tân Thành Nam,Công ty TNHH Đầu tư và Thương mại XuấtNhập Khẩu Tân Thành Nam,192.024.997.500,94.543.645.500,192024997500.0,94543645500.0
Công ty Cổ phần Kinh doanh và Thương mạiLong Hưng,Công ty Cổ phần Kinh doanh và Thương mạiLong Hưng,Công ty Cổ phần Kinh doanh và Thương mạiLong Hưng,56.836.756.350,-,56836756350.0,
Công ty TNHH Kinh doanh Thương mại vàPhát triển Dịch vụ Sơn La,Công ty TNHH Kinh doanh Thương mại vàPhát triển Dịch vụ Sơn La,Công ty TNHH Kinh doanh Thương mại vàPhát triển Dịch vụ Sơn La,-,530.954.129.580,,530954129580.0
Công ty Cổ phần OTE Group,Công ty Cổ phần OTE Group,Công ty Cổ phần OTE Group,-,332.222.891.900,,332222891900.0
Công ty TNHH Thương mại Nông Lâm VạnThành Long,Công ty TNHH Thương mại Nông Lâm VạnThành Long,Công ty TNHH Thương mại Nông Lâm VạnThành Long,-,292.090.463.228,,292090463228.0
Các bên khác,Các bên khác,Các bên khác,45.340.029.471,1.196.390.476.588,45340029471.0,1196390476588.0
Phải thu các bên liên quan(Thuyết minh số 30),Phải thu các bên liên quan(Thuyết minh số 30),Phải thu các bên liên quan(Thuyết minh số 30),149.174.623.006,333.770.218.391,149174623006.0,333770218391.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,643.501.723.127,2.863.040.379.237,643501723127.0,2863040379237.0
