row_label_raw,row_label_full,col_0,Bàng cân dǒi ké toán riếng,Bàng cân dǒi ké toán riếng_1,Báo cáo két qua hoạt động kinh doanh riếng,Báo cáo két qua hoạt động kinh doanh riếng_1,numeric__Bàng cân dǒi ké toán riếng,numeric__Bàng cân dǒi ké toán riếng_1,numeric__Báo cáo két qua hoạt động kinh doanh riếng,numeric__Báo cáo két qua hoạt động kinh doanh riếng_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Chi phí bàn quyền phài trả,Chi phí bàn quyền phài trả,Chi phí bàn quyền phài trả,1.889.115.750,-,1.889.115.750,-,1889115750.0,,1889115750.0,
Chi phí dịch vụ bào vệ,Chi phí dịch vụ bào vệ,Chi phí dịch vụ bào vệ,133.067.352,-,133.067.352,-,133067352.0,,133067352.0,
Chi phí khác,Chi phí khác,Chi phí khác,1.149.275.418,-,1.149.275.418,-,1149275418.0,,1149275418.0,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,3.171.458.520,-,,,3171458520.0,,,
Thu nhập thuế TNDN hoãn lại thuần,Thu nhập thuế TNDN hoãn lại thuần,Thu nhập thuế TNDN hoãn lại thuần,Thu nhập thuế TNDN hoãn lại thuần,Thu nhập thuế TNDN hoãn lại thuần,3.171.458.520,-,,,3171458520.0,
