row_label_raw,row_label_full,col_0,CHÌ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHÌ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,27,12.949.489.162.606,16.380.039.770.909,,1.0,27.0,12949489162606.0,16380039770909.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,27,378.947.072.778,455.512.896.510,,2.0,27.0,378947072778.0,455512896510.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,12.570.542.089.828,15.924.526.874.399,,10.0,,12570542089828.0,15924526874399.0
4.,4.,4.,Giá vốn hàng bán,11,28,10.538.742.407.968,10.221.097.432.231,,11.0,28.0,10538742407968.0,10221097432231.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,2.031.799.681.860,5.703.429.442.168,,20.0,,2031799681860.0,5703429442168.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,30,577.088.490.762,301.008.063.317,,21.0,30.0,577088490762.0,301008063317.0
7.,7.,7.,Chi phí tài chính,22,31,27.372.487.527,60.402.056.552,,22.0,31.0,27372487527.0,60402056552.0
,,,- Trong đó: Chi phí lãi vay,23,,10.155.714.106,10.274.784.277,,23.0,,10155714106.0,10274784277.0
8.,8.,8.,Chi phí bán hàng,25,32,800.631.458.171,698.294.873.644,,25.0,32.0,800631458171.0,698294873644.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,32,548.556.889.165,652.594.258.961,,26.0,32.0,548556889165.0,652594258961.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,1.232.327.337.759,4.593.146.316.328,,30.0,,1232327337759.0,4593146316328.0
11.,11.,11.,Thu nhập khác,31,33,24.751.516.067,15.225.626.021,,31.0,33.0,24751516067.0,15225626021.0
12.,12.,12.,Chi phí khác,32,33,2.269.270.186,12.059.177.506,,32.0,33.0,2269270186.0,12059177506.0
13.,13.,13.,Lợi nhuận khác (40=31-32),40,33,22.482.245.881,3.166.448.515,,40.0,33.0,22482245881.0,3166448515.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,1.254.809.583.640,4.596.312.764.843,,50.0,,1254809583640.0,4596312764843.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,34,146.468.525.391,269.999.355.705,,51.0,34.0,146468525391.0,269999355705.0
16.,16.,16.,(Thu nhập)/chi phí thuế thu nhập doanh nghiệp hoãn lại,52,,(1.801.658.643),5.232.674.603,,52.0,,-1801658643.0,5232674603.0
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,1.110.142.716.892,4.321.080.734.535,,60.0,,1110142716892.0,4321080734535.0
,,,Trong đó:,,,,,,,,,
17.1.,17.1.,17.1.,Lợi nhuận sau thuế của Công ty mẹ,61,,1.108.892.825.082,4.315.953.289.589,,61.0,,1108892825082.0,4315953289589.0
17.2.,17.2.,17.2.,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,1.249.891.810,5.127.444.946,,62.0,,1249891810.0,5127444946.0
18.,18.,18.,Lãi cơ bản trên cổ phiếu,70,35,1.797,7.701,,70.0,35.0,1797.0,7701.0
