row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúc,Máy mócvà thiết bị,Thiết bịvăn phòng,Phương tiệnvận tải vàthiết bịtruyền dẫn,Tài sản cố địnhhửu hình khác,Tổng,numeric__Nhà xưởngvà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Thiết bịvăn phòng,numeric__Phương tiệnvận tải vàthiết bịtruyền dẫn,numeric__Tài sản cố địnhhửu hình khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,3.888.021.458.603,11.119.163.528.347,122.462.487.785,81.920.361.774,59.369.973.815,15.270.937.810.324,3888021458603.0,11119163528347.0,122462487785.0,81920361774.0,59369973815.0,15270937810324.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,68.928.530.406,22.664.137.633,14.696.424.631,8.234.088.140,-,114.523.180.810,68928530406.0,22664137633.0,14696424631.0,8234088140.0,,114523180810.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,23.801.524.660,20.929.494.286,-,-,-,44.731.018.946,23801524660.0,20929494286.0,,,,44731018946.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,(15.172.172),-,-,-,-,(15.172.172),-15172172.0,,,,,-15172172.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,(79.503.329.126),72.064.347.056,7.173.717.958,-,265.264.112,-,-79503329126.0,72064347056.0,7173717958.0,,265264112.0,
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,3.901.233.012.371,11.234.821.507.322,144.332.630.374,90.154.449.914,59.635.237.927,15.430.176.837.908,3901233012371.0,11234821507322.0,144332630374.0,90154449914.0,59635237927.0,15430176837908.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,3.230.148.538.041,9.729.148.695.725,71.042.055.145,62.125.625.224,18.827.948.012,13.111.292.862.147,3230148538041.0,9729148695725.0,71042055145.0,62125625224.0,18827948012.0,13111292862147.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,263.397.838.740,788.213.017.820,12.959.932.681,4.525.506.597,19.980.822,1.069.116.276.660,263397838740.0,788213017820.0,12959932681.0,4525506597.0,19980822.0,1069116276660.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,(204.481.614.450),152.332.604.900,10.926.860.555,434.839.902,40.787.309.093,-,-204481614450.0,152332604900.0,10926860555.0,434839902.0,40787309093.0,
