row_label_raw,row_label_full,col_0,Số đầu năm,Số phải thu/nộptrong năm,Số đã thựcthu/nộptrong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải thu/nộptrong năm,numeric__Số đã thựcthu/nộptrong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế giá trị gia tăng,a. Các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,104.855.724,-,-,104.855.724,104855724.0,,,104855724.0
Tiền thuê đất,a. Các khoản phải thu > Tiền thuê đất,Tiền thuê đất,397.346.605,1.760.049.088,1.760.049.088,397.346.605,397346605.0,1760049088.0,1760049088.0,397346605.0
,,,502.202.329,1.760.049.088,1.760.049.088,502.202.329,502202329.0,1760049088.0,1760049088.0,502202329.0
b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,b. Các khoản phải nộp,,,,
Thuế giá trị gia tăng đầu ra,b. Các khoản phải nộp > Thuế giá trị gia tăng đầu ra,Thuế giá trị gia tăng đầu ra,1.147.662.519,4.943.641.984,6.091.267.466,37.037,1147662519.0,4943641984.0,6091267466.0,37037.0
Thuế giá trị gia tăng hàngnhập khẩu,b. Các khoản phải nộp > Thuế giá trị gia tăng hàngnhập khẩu,Thuế giá trị gia tăng hàngnhập khẩu,-,9.626.632.638,9.626.632.638,-,,9626632638.0,9626632638.0,
Thuế thu nhập doanhnghiệp,b. Các khoản phải nộp > Thuế thu nhập doanhnghiệp,Thuế thu nhập doanhnghiệp,61.590.689.717,146.468.525.391,153.897.688.305,54.161.526.803,61590689717.0,146468525391.0,153897688305.0,54161526803.0
Thuế tài nguyên,b. Các khoản phải nộp > Thuế tài nguyên,Thuế tài nguyên,229.003.200,2.599.057.050,2.599.703.400,228.356.850,229003200.0,2599057050.0,2599703400.0,228356850.0
Thuế xuất khẩu,b. Các khoản phải nộp > Thuế xuất khẩu,Thuế xuất khẩu,-,149.153.576.965,149.153.576.965,-,,149153576965.0,149153576965.0,
Thuế nhập khẩu,b. Các khoản phải nộp > Thuế nhập khẩu,Thuế nhập khẩu,-,21.319.240.483,11.802.066.940,9.517.173.543,,21319240483.0,11802066940.0,9517173543.0
Thuế môn bài,b. Các khoản phải nộp > Thuế môn bài,Thuế môn bài,-,7.000.000,7.000.000,-,,7000000.0,7000000.0,
Thuế thu nhập cá nhân,b. Các khoản phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,8.516.288.117,89.902.247.727,88.237.387.026,10.181.148.818,8516288117.0,89902247727.0,88237387026.0,10181148818.0
"Thuế, phí và các khoản lệphí khác","b. Các khoản phải nộp > Thuế, phí và các khoản lệphí khác","Thuế, phí và các khoản lệphí khác",-,1.026.470.215,1.026.470.215,-,,1026470215.0,1026470215.0,
,,,71.483.643.553,425.046.392.453,422.441.792.955,74.088.243.051,71483643553.0,425046392453.0,422441792955.0,74088243051.0
