row_label_raw,row_label_full,col_0,Quyềnsử dụng đất,"Bản quyền,bằng sáng chế",Phần mềmmáy tính,Tổng,numeric__Quyềnsử dụng đất,"numeric__Bản quyền,bằng sáng chế",numeric__Phần mềmmáy tính,numeric__Tổng
,,,VND,VND,VND,VND,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,22.194.885.567,14.609.100.000,141.661.732.293,178.465.717.860,22194885567.0,14609100000.0,141661732293.0,178465717860.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,303.561.149.858,-,18.290.902.413,321.852.052.271,303561149858.0,,18290902413.0,321852052271.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,325.756.035.425,14.609.100.000,159.952.634.706,500.317.770.131,325756035425.0,14609100000.0,159952634706.0,500317770131.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,10.147.186.544,14.213.362.192,106.897.538.652,131.258.087.388,10147186544.0,14213362192.0,106897538652.0,131258087388.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,1.286.648.162,176.366.667,17.188.926.933,18.651.941.762,1286648162.0,176366667.0,17188926933.0,18651941762.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,11.433.834.706,14.389.728.859,124.086.465.585,149.910.029.150,11433834706.0,14389728859.0,124086465585.0,149910029150.0
GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,GIÁ TRỊ CÒN LAI,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LAI > Tại ngày đầu năm,Tại ngày đầu năm,12.047.699.023,395.737.808,34.764.193.641,47.207.630.472,12047699023.0,395737808.0,34764193641.0,47207630472.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LAI > Tại ngày cuối năm,Tại ngày cuối năm,314.322.200.719,219.371.141,35.866.169.121,350.407.740.981,314322200719.0,219371141.0,35866169121.0,350407740981.0
