row_label_raw,row_label_full,col_0,Số cuối kỳVND,Số đầu kỳVND,numeric__Số cuối kỳVND,numeric__Số đầu kỳVND
Doanh nghiệp Tư nhân Kim Hoàng,Doanh nghiệp Tư nhân Kim Hoàng,Doanh nghiệp Tư nhân Kim Hoàng,40.833.650.000,-,40833650000.0,
Công ty TNHH Thương mại Dịch vụ Minh Khoa,Công ty TNHH Thương mại Dịch vụ Minh Khoa,Công ty TNHH Thương mại Dịch vụ Minh Khoa,35.046.800.000,-,35046800000.0,
Công ty TNHH Thương mại Dịch vụ Xuất nhập khẩu,Công ty TNHH Thương mại Dịch vụ Xuất nhập khẩu,Công ty TNHH Thương mại Dịch vụ Xuất nhập khẩu,28.529.900.000,-,28529900000.0,
Phân bón Thế Mẫn,Phân bón Thế Mẫn,Phân bón Thế Mẫn,,,,
Công ty TNHH Thương mại Nguyễn Khoa,Phân bón Thế Mẫn > Công ty TNHH Thương mại Nguyễn Khoa,Công ty TNHH Thương mại Nguyễn Khoa,23.004.300.000,-,23004300000.0,
Công ty Cổ phần Tân Cảnh Tây Nguyên,Phân bón Thế Mẫn > Công ty Cổ phần Tân Cảnh Tây Nguyên,Công ty Cổ phần Tân Cảnh Tây Nguyên,21.888.775.000,-,21888775000.0,
Công ty TNHH Thương mại – Dịch vụ Huy Chính,Phân bón Thế Mẫn > Công ty TNHH Thương mại – Dịch vụ Huy Chính,Công ty TNHH Thương mại – Dịch vụ Huy Chính,20.365.800.000,-,20365800000.0,
Các khách hàng khác,Phân bón Thế Mẫn > Các khách hàng khác,Các khách hàng khác,28.842.766.794,1.404.795.808,28842766794.0,1404795808.0
,,,198.511.991.794,1.404.795.808,198511991794.0,1404795808.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu khách hàng là các bên liên quan(Chi tiết tại Thuyết minh số 37),Trong đó: > Phải thu khách hàng là các bên liên quan(Chi tiết tại Thuyết minh số 37),Phải thu khách hàng là các bên liên quan(Chi tiết tại Thuyết minh số 37),34.070.417,37.332.262,34070417.0,37332262.0
