row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia ting,Phải nộp > Thuế giá trị gia ting,Thuế giá trị gia ting,-,71.978.626.369,71.978.626.369,-,,71978626369.0,71978626369.0,
"Thuế xuất, nhập khẩu","Phải nộp > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,3.581.590.254,3.581.590.254,-,,3581590254.0,3581590254.0,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,9.861.583.442,31.678.697.329,30.440.687.957,11.099.592.814,9861583442.0,31678697329.0,30440687957.0,11099592814.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,547.810,2.809.186.921,2.800.754.641,8.980.090,547810.0,2809186921.0,2800754641.0,8980090.0
"Thuế nhà đất, tiền thuê đất","Phải nộp > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",-,969.760.336,969.760.336,-,,969760336.0,969760336.0,
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,-,10.295.681,10.295.681,-,,10295681.0,10295681.0,
Cộng,Phải nộp > Cộng,Cộng,9.862.131.252,111.028.156.890,109.781.715.238,11.108.572.904,9862131252.0,111028156890.0,109781715238.0,11108572904.0
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
"Thuế nhà đất, tiền thuê đất","Phải thu > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",-,-,1.982.200,1.982.200,,,1982200.0,1982200.0
Cộng,Phải thu > Cộng,Cộng,-,-,1.982.200,1.982.200,,,1982200.0,1982200.0
