row_label_raw,row_label_full,Ông Phạm Ánh Dương,Chủ tịch,numeric__Chủ tịch
Bà Hòa Thị Thu Hà,Bà Hòa Thị Thu Hà,Bà Hòa Thị Thu Hà,Thành viên,
Ông Nguyễn Lê Trung,Ông Nguyễn Lê Trung,Ông Nguyễn Lê Trung,Thành viên,
Ông Phạm Hoàng Việt,Ông Phạm Hoàng Việt,Ông Phạm Hoàng Việt,Thành viên,
Ông Phạm Đình Ngư,Ông Phạm Đình Ngư,Ông Phạm Đình Ngư,Thành viên (Miễn nhiễm ngày 08/02/2018),
Ông Đình Xuân Cường,Ông Đình Xuân Cường,Ông Đình Xuân Cường,Thành viên (Bổ nhiệm ngày 08/02/2018),
