row_label_raw,row_label_full,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số cuối năm > Dự phòng,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý,numeric__Số đầu năm > Dự phòng
VND,VND,VND,VND,VND,VND,VND,VND,,,,,
197.491.252.000,VND > 197.491.252.000,197.491.252.000,204.480.000.000,-,48.000.000.000,139.200.000.000,-,204480000000.0,,48000000000.0,139200000000.0,
910.000.000.000,VND > 910.000.000.000,910.000.000.000,(i),-,65.000.000.000,(i),-,,,65000000000.0,,
,,,,-,14.367.618.356,(i),2.282.767.113,,,14367618356.0,,2282767113.0
1.107.491.252.000,VND > 1.107.491.252.000,1.107.491.252.000,,-,127.367.618.356,,2.282.767.113,,,127367618356.0,,2282767113.0
