row_label_raw,row_label_full,Đầu tư nấm giữ đến ngày đầu hạn,Số cuối năm > Giá gốcVND > Đầu tư nấm giữ đến ngày đầu hạn,Số cuối năm > Giá trị ghi sốVND > Đầu tư nấm giữ đến ngày đầu hạn,Số đầu năm > Giá gốcVND > Đầu tư nấm giữ đến ngày đầu hạn,Số đầu năm > Giá trị ghi sốVND > Đầu tư nấm giữ đến ngày đầu hạn,numeric__Số cuối năm > Giá gốcVND > Đầu tư nấm giữ đến ngày đầu hạn,numeric__Số cuối năm > Giá trị ghi sốVND > Đầu tư nấm giữ đến ngày đầu hạn,numeric__Số đầu năm > Giá gốcVND > Đầu tư nấm giữ đến ngày đầu hạn,numeric__Số đầu năm > Giá trị ghi sốVND > Đầu tư nấm giữ đến ngày đầu hạn
Ngắn hạn,Ngắn hạn,Ngắn hạn,483.900.000.000,483.900.000.000,50.000.000.000,50.000.000.000,483900000000.0,483900000000.0,50000000000.0,50000000000.0
- Tiền gửi có kỳ hạn (i),- Tiền gửi có kỳ hạn (i),- Tiền gửi có kỳ hạn (i),173.000.000.000,173.000.000.000,-,-,173000000000.0,173000000000.0,,
- Các khoản đầu tư khác (ii),- Các khoản đầu tư khác (ii),- Các khoản đầu tư khác (ii),310.900.000.000,310.900.000.000,50.000.000.000,50.000.000.000,310900000000.0,310900000000.0,50000000000.0,50000000000.0
Cộng,Cộng,Cộng,483.900.000.000,483.900.000.000,50.000.000.000,50.000.000.000,483900000000.0,483900000000.0,50000000000.0,50000000000.0
