row_label_raw,row_label_full,Số cuối năm > Giá trị,Số cuối năm > Số có khả năngtrả nợ,Trong năm > Giảm,Trong năm > Tăng,Số đầu năm > Giá trị,Số đầu năm > Số có khả năngtrả nợ,numeric__Số cuối năm > Số có khả năngtrả nợ,numeric__Trong năm > Giảm,numeric__Trong năm > Tăng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năngtrả nợ
VND,VND,VND,VND,VND,VND,VND,VND,,,,,
1.783.788.058.146,VND > 1.783.788.058.146,1.783.788.058.146,1.783.788.058.146,3.864.571.346.705,4.528.877.741.216,1.119.481.663.635,1.119.481.663.635,1783788058146.0,3864571346705.0,4528877741216.0,1119481663635.0,1119481663635.0
697.418.581.908,VND > 697.418.581.908,697.418.581.908,697.418.581.908,1.304.246.172.281,1.507.690.035.664,493.974.718.525,493.974.718.525,697418581908.0,1304246172281.0,1507690035664.0,493974718525.0,493974718525.0
151.802.275.138,VND > 151.802.275.138,151.802.275.138,151.802.275.138,395.552.993.798,389.737.065.742,157.618.203.194,157.618.203.194,151802275138.0,395552993798.0,389737065742.0,157618203194.0,157618203194.0
167.646.465.617,VND > 167.646.465.617,167.646.465.617,167.646.465.617,665.669.875.626,704.656.255.857,128.660.085.386,128.660.085.386,167646465617.0,665669875626.0,704656255857.0,128660085386.0,128660085386.0
176.591.251.536,VND > 176.591.251.536,176.591.251.536,176.591.251.536,472.115.921.369,539.345.059.242,109.362.113.663,109.362.113.663,176591251536.0,472115921369.0,539345059242.0,109362113663.0,109362113663.0
244.484.100.340,VND > 244.484.100.340,244.484.100.340,244.484.100.340,367.116.063.420,550.604.167.966,60.995.995.794,60.995.995.794,244484100340.0,367116063420.0,550604167966.0,60995995794.0,60995995794.0
96.595.920.494,VND > 96.595.920.494,96.595.920.494,96.595.920.494,3.000.000.000,99.595.920.494,-,-,96595920494.0,3000000000.0,99595920494.0,,
57.303.562.140,VND > 57.303.562.140,57.303.562.140,57.303.562.140,184.830.027.285,150.211.070.791,91.922.518.634,91.922.518.634,57303562140.0,184830027285.0,150211070791.0,91922518634.0,91922518634.0
27.794.505.480,VND > 27.794.505.480,27.794.505.480,27.794.505.480,113.138.538.526,96.862.212.743,44.070.831.263,44.070.831.263,27794505480.0,113138538526.0,96862212743.0,44070831263.0,44070831263.0
92.838.848.465,VND > 92.838.848.465,92.838.848.465,92.838.848.465,213.578.694.436,273.540.345.725,32.877.197.176,32.877.197.176,92838848465.0,213578694436.0,273540345725.0,32877197176.0,32877197176.0
-,VND > -,-,-,60.593.977.340,60.593.977.340,,-,,60593977340.0,60593977340.0,,
71.312.547.028,VND > 71.312.547.028,71.312.547.028,71.312.547.028,84.729.082.624,156.041.629.652,,-,71312547028.0,84729082624.0,156041629652.0,,
-,VND > -,-,-,335.228.400.000,335.228.400.000,-,-,,335228400000.0,335228400000.0,,
-,VND > -,-,-,335.228.400.000,335.228.400.000,-,-,,335228400000.0,335228400000.0,,
1.783.788.058.146,VND > 1.783.788.058.146,1.783.788.058.146,1.783.788.058.146,4.199.799.746.705,4.864.106.141.216,1.119.481.663.635,1.119.481.663.635,1783788058146.0,4199799746705.0,4864106141216.0,1119481663635.0,1119481663635.0
-,VND > -,-,-,335.228.400.000,335.228.400.000,-,-,,335228400000.0,335228400000.0,,
