row_label_raw,row_label_full,col_0,Giá trị ghi số > Số cuối năm,Giá trị ghi số > Số đầu năm,numeric__Giá trị ghi số > Số cuối năm,numeric__Giá trị ghi số > Số đầu năm
,,,VND,VND,,
Tải sản tài chính,Tải sản tài chính,Tải sản tài chính,Tải sản tài chính,Tải sản tài chính,,
Tiền và các khoản tương đương tiền,Tải sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,491.191.059.270,385.121.136.250,491191059270.0,385121136250.0
Phải thu khách hàng và phải thu khác,Tải sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.290.555.319.038,507.906.561.368,1290555319038.0,507906561368.0
Đầu tư tài chính ngắn hạn,Tải sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,612.563.000.000,110.000.000.000,612563000000.0,110000000000.0
Các khoản ký quỹ,Tải sản tài chính > Các khoản ký quỹ,Các khoản ký quỹ,11.431.056.494,7.920.021.285,11431056494.0,7920021285.0
Cộng,Tải sản tài chính > Cộng,Cộng,2.405.740.434.802,1.010.947.718.903,2405740434802.0,1010947718903.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,2.840.238.479.783,1.881.056.991.987,2840238479783.0,1881056991987.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,471.320.014.219,438.479.159.311,471320014219.0,438479159311.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,6.377.813.872,3.490.233.226,6377813872.0,3490233226.0
Cộng,Công nợ tài chính > Cộng,Cộng,3.317.936.307.874,2.323.026.384.524,3317936307874.0,2323026384524.0
