row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dưvốn cổ phần,Vốn khác cùachủ sở hữu,Quỹ đầu tưphát triển,LNST chưaphân phối,Cộng,numeric__Vốn điều lệ,numeric__Thặng dưvốn cổ phần,numeric__Vốn khác cùachủ sở hữu,numeric__Quỹ đầu tưphát triển,numeric__LNST chưaphân phối,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,569.649.880.000,160.721.267.329,11.612.477.781,33.886.962.310,130.030.276.218,905.900.863.638,569649880000.0,160721267329.0,11612477781.0,33886962310.0,130030276218.0,905900863638.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,266.350.000.000,37.402.500.000,-,-,-,303.752.500.000,266350000000.0,37402500000.0,,,,303752500000.0
Lãi trong năm,Lãi trong năm,Lãi trong năm,-,-,-,-,251.314.327.424,251.314.327.424,,,,,251314327424.0,251314327424.0
Tăng/ (giảm) khác,Tăng/ (giảm) khác,Tăng/ (giảm) khác,-,(45.000.000),-,-,-,(45.000.000),,-45000000.0,,,,-45000000.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,7.099.273.798,(18.458.111.875),(11.358.838.077),,,,7099273798.0,-18458111875.0,-11358838077.0
Trả cổ tức,Trả cổ tức,Trả cổ tức,-,-,-,-,(86.592.841.500),(86.592.841.500),,,,,-86592841500.0,-86592841500.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,835.999.880.000,198.078.767.329,11.612.477.781,40.986.236.108,276.293.650.267,1.362.971.011.485,835999880000.0,198078767329.0,11612477781.0,40986236108.0,276293650267.0,1362971011485.0
Tăng vốn trong năm (i),Tăng vốn trong năm (i),Tăng vốn trong năm (i),875.999.880.000,334.048.922.000,-,-,-,1.210.048.802.000,875999880000.0,334048922000.0,,,,1210048802000.0
Lãi trong kỳ,Lãi trong kỳ,Lãi trong kỳ,-,-,-,-,170.912.085.289,170.912.085.289,,,,,170912085289.0,170912085289.0
Trả cổ tức (ii),Trả cổ tức (ii),Trả cổ tức (ii),-,-,-,-,(125.399.982.000),(125.399.982.000),,,,,-125399982000.0,-125399982000.0
Phân phối lợi nhuận (ii),Phân phối lợi nhuận (ii),Phân phối lợi nhuận (ii),-,-,-,11.167.133.087,(55.835.665.436),(44.668.532.349),,,,11167133087.0,-55835665436.0,-44668532349.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.711.999.760.000,532.127.689.329,11.612.477.781,52.153.369.195,265.970.088.120,2.573.863.384.425,1711999760000.0,532127689329.0,11612477781.0,52153369195.0,265970088120.0,2573863384425.0
