row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyếtmình,Số cuối năm,Số đầu năm,numeric__Mã số,numeric__Thuyếtmình,numeric__Số cuối năm,numeric__Số đầu năm
A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,100,,2.578.610.815.655,1.592.473.382.389,100.0,,2578610815655.0,1592473382389.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,4,491.191.059.270,385.121.136.250,110.0,4.0,491191059270.0,385121136250.0
1. Tiền,1. Tiền,1. Tiền,111,,156.191.059.270,90.325.084.055,111.0,,156191059270.0,90325084055.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,335.000.000.000,294.796.052.195,112.0,,335000000000.0,294796052195.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,5,483.900.000.000,50.000.000.000,120.0,5.0,483900000000.0,50000000000.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,,483.900.000.000,50.000.000.000,123.0,,483900000000.0,50000000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,989.665.344.923,719.353.770.982,130.0,,989665344923.0,719353770982.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,6,766.444.177.449,411.299.153.249,131.0,6.0,766444177449.0,411299153249.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,7,49.197.652.555,169.027.027.329,132.0,7.0,49197652555.0,169027027329.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,8,128.663.000.000,60.000.000.000,135.0,8.0,128663000000.0,60000000000.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,9,45.360.514.919,79.027.590.404,136.0,9.0,45360514919.0,79027590404.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,10,581.114.483.902,410.223.409.952,140.0,10.0,581114483902.0,410223409952.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,581.114.483.902,410.223.409.952,141.0,,581114483902.0,410223409952.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,32.739.927.560,27.775.065.205,150.0,,32739927560.0,27775065205.0
1. Chỉ phí trả trước ngắn hạn,1. Chỉ phí trả trước ngắn hạn,1. Chỉ phí trả trước ngắn hạn,151,11,15.827.330.321,15.694.035.334,151.0,11.0,15827330321.0,15694035334.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,16.910.615.039,12.081.029.871,152.0,,16910615039.0,12081029871.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,18,1.982.200,-,153.0,18.0,1982200.0,
B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,200,,3.358.833.332.268,2.124.783.920.813,200.0,,3358833332268.0,2124783920813.0
