row_label_raw,row_label_full,Số cuối năm,Dưới 1 nămVND > Số cuối năm,Từ 1 - 5 nămVND > Số cuối năm,TổngVND > Số cuối năm,numeric__Dưới 1 nămVND > Số cuối năm,numeric__Từ 1 - 5 nămVND > Số cuối năm,numeric__TổngVND > Số cuối năm
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,491.191.059.270,-,491.191.059.270,491191059270.0,,491191059270.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,917.284.676.038,373.270.643.000,1.290.555.319.038,917284676038.0,373270643000.0,1290555319038.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,612.563.000.000,-,612.563.000.000,612563000000.0,,612563000000.0
Các khoản ký quỹ,Các khoản ký quỹ,Các khoản ký quỹ,11.431.056.494,-,11.431.056.494,11431056494.0,,11431056494.0
Cộng,Cộng,Cộng,2.032.469.791.802,373.270.643.000,2.405.740.434.802,2032469791802.0,373270643000.0,2405740434802.0
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,
Các khoản vay,Số cuối năm > Các khoản vay,Các khoản vay,1.783.788.058.146,1.056.450.421.637,2.840.238.479.783,1783788058146.0,1056450421637.0,2840238479783.0
Phải trả người bán và phải trả khác,Số cuối năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,471.320.014.219,-,471.320.014.219,471320014219.0,,471320014219.0
Chi phí phải trả,Số cuối năm > Chi phí phải trả,Chi phí phải trả,6.377.813.872,-,6.377.813.872,6377813872.0,,6377813872.0
Cộng,Số cuối năm > Cộng,Cộng,2.261.485.886.237,1.056.450.421.637,3.317.936.307.874,2261485886237.0,1056450421637.0,3317936307874.0
Chênh lệch thanh khoản thuần,Số cuối năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(229.016.094.435),(683.179.778.637),(912.195.873.072),-229016094435.0,-683179778637.0,-912195873072.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,
Tiền và các khoản tương đương tiền,Số đầu năm > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,385.121.136.250,-,385.121.136.250,385121136250.0,,385121136250.0
Phải thu khách hàng và phải thu khác,Số đầu năm > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,507.906.561.368,-,507.906.561.368,507906561368.0,,507906561368.0
Đầu tư tài chính ngắn hạn,Số đầu năm > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,110.000.000.000,-,110.000.000.000,110000000000.0,,110000000000.0
Các khoản ký quỹ,Số đầu năm > Các khoản ký quỹ,Các khoản ký quỹ,7.920.021.285,-,7.920.021.285,7920021285.0,,7920021285.0
Cộng,Số đầu năm > Cộng,Cộng,1.010.947.718.903,-,1.010.947.718.903,1010947718903.0,,1010947718903.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,
Các khoản vay,Số đầu năm > Các khoản vay,Các khoản vay,1.119.481.663.635,761.575.328.352,1.881.056.991.987,1119481663635.0,761575328352.0,1881056991987.0
Phải trả người bán và phải trả khác,Số đầu năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,438.479.159.311,-,438.479.159.311,438479159311.0,,438479159311.0
Chi phí phải trả,Số đầu năm > Chi phí phải trả,Chi phí phải trả,3.490.233.226,-,3.490.233.226,3490233226.0,,3490233226.0
Cộng,Số đầu năm > Cộng,Cộng,1.561.451.056.172,761.575.328.352,2.323.026.384.524,1561451056172.0,761575328352.0,2323026384524.0
Chênh lệch thanh khoản thuần,Số đầu năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(550.503.337.269),(761.575.328.352),(1.312.078.665.621),-550503337269.0,-761575328352.0,-1312078665621.0
