row_label_raw,row_label_full,Trải phân,Nglynman,Nglydão hạn,Nglynman lại,Số tinhtheo molh giá,Số tinhmua lại,Số tinhđi ajubu trước,Số tinhcơn lại,numeric__Nglynman,numeric__Nglydão hạn,numeric__Nglynman lại,numeric__Số tinhtheo molh giá,numeric__Số tinhmua lại,numeric__Số tinhđi ajubu trước,numeric__Số tinhcơn lại
Trải phân,Trải phân,Trải phân,Nglynman,Nglydão hạn,Nglynman lại,VND,VND,VND,VND,,,,,,,
Công ty TNHH MTV Yamagata,Trải phân > Công ty TNHH MTV Yamagata,Công ty TNHH MTV Yamagata,21/05/2018,17/05/2021,21/02/2019,30.000.000.000,31.671.333.333,498.333.333,31.173.000.000,,,,30000000000.0,31671333333.0,498333333.0,31173000000.0
Công ty TNHH MTV Hakuba,Trải phân > Công ty TNHH MTV Hakuba,Công ty TNHH MTV Hakuba,04/05/2018,04/05/2021,12/02/2019,25.000.000.000,26.009.375.000,424.305.556,25.585.069.444,,,,25000000000.0,26009375000.0,424305556.0,25585069444.0
Công ty TNHH MTV Yamagata,Trải phân > Công ty TNHH MTV Yamagata,Công ty TNHH MTV Yamagata,25/05/2018,24/05/2021,28/02/2019,30.000.000.000,31.687.583.333,514.583.333,31.173.000.000,,,,30000000000.0,31687583333.0,514583333.0,31173000000.0
Công ty TNHH MTV Hakuba,Trải phân > Công ty TNHH MTV Hakuba,Công ty TNHH MTV Hakuba,21/05/2018,18/05/2021,21/02/2019,15.000.000.000,15.835.666.667,249.166.667,15.586.500.000,,,,15000000000.0,15835666667.0,249166667.0,15586500000.0
Công ty TNHH MTV Hakuba,Trải phân > Công ty TNHH MTV Hakuba,Công ty TNHH MTV Hakuba,03/05/2018,04/05/2021,12/02/2019,30.000.000.000,31.230.375.000,498.333.333,30.732.041.667,,,,30000000000.0,31230375000.0,498333333.0,30732041667.0
Công ty TNHH MTV Hakuba,Trải phân > Công ty TNHH MTV Hakuba,Công ty TNHH MTV Hakuba,04/05/2018,04/05/2021,12/02/2019,32.000.000.000,33.292.000.000,543.111.111,32.748.888.889,,,,32000000000.0,33292000000.0,543111111.0,32748888889.0
Công ty TNHH MTV Yamagata,Trải phân > Công ty TNHH MTV Yamagata,Công ty TNHH MTV Yamagata,22/05/2018,24/05/2021,22/02/2019,50.000.000.000,52.785.555.556,830.555.556,51.955.000.000,,,,50000000000.0,52785555556.0,830555556.0,51955000000.0
Công ty TNHH MTV Yamagata,Trải phân > Công ty TNHH MTV Yamagata,Công ty TNHH MTV Yamagata,22/08/2018,31/05/2021,22/02/2019,30.000.000.000,31.150.000.000,-,31.150.000.000,,,,30000000000.0,31150000000.0,,31150000000.0
Công ty TNHH MTV Azana,Trải phân > Công ty TNHH MTV Azana,Công ty TNHH MTV Azana,23/11/2018,25/10/2021,23/05/2019,18.900.000.000,19.622.190.000,-,19.622.190.000,,,,18900000000.0,19622190000.0,,19622190000.0
Công ty TNHH MTV Azana,Trải phân > Công ty TNHH MTV Azana,Công ty TNHH MTV Azana,15/11/2018,25/10/2021,15/05/2019,20.000.000.000,20.764.222.222,-,20.764.222.222,,,,20000000000.0,20764222222.0,,20764222222.0
Công ty TNHH MTV Ataka,Trải phân > Công ty TNHH MTV Ataka,Công ty TNHH MTV Ataka,08/12/2017,18/01/2021,11/03/2019,30.000.000.000,32.858.916.667,1.698.666.667,31.160.250.000,,,,30000000000.0,32858916667.0,1698666667.0,31160250000.0
Công,Trải phân > Công,Công,,,,310.900.000.000,326.907.217.778,5.257.055.556,321.650.162.222,,,,310900000000.0,326907217778.0,5257055556.0,321650162222.0
