row_label_raw,row_label_full,col_0,Năm 2017,Năm 2017_1,numeric__Năm 2017,numeric__Năm 2017_1
,,,Triệu VND,Triệu VND,,
Chi phí lãi trả cho tiền gửi của- Thành viên Hội đồng quản trị,Chi phí lãi trả cho tiền gửi của- Thành viên Hội đồng quản trị,Chi phí lãi trả cho tiền gửi của- Thành viên Hội đồng quản trị,,253,,253.0
- Thành viên Ban Tổng giám đốc,- Thành viên Ban Tổng giám đốc,- Thành viên Ban Tổng giám đốc,,194,,194.0
- Thành viên Ban Kiểm soát,- Thành viên Ban Kiểm soát,- Thành viên Ban Kiểm soát,,39,,39.0
,,,Năm 2017,Năm 2016,,
,,,Triệu VND,Triệu VND,,
Thù lao trả cho các thành viên Hội đồng Quản trị,Thù lao trả cho các thành viên Hội đồng Quản trị,Thù lao trả cho các thành viên Hội đồng Quản trị,444,444,444.0,444.0
Thù lao trả cho Ban Kiểm soát,Thù lao trả cho Ban Kiểm soát,Thù lao trả cho Ban Kiểm soát,192,192,192.0,192.0
"Tại thời điểm cuối năm, số dư của Ngân hàng với các bên liên quan như sau:","Tại thời điểm cuối năm, số dư của Ngân hàng với các bên liên quan như sau:","Tại thời điểm cuối năm, số dư của Ngân hàng với các bên liên quan như sau:","Tại thời điểm cuối năm, số dư của Ngân hàng với các bên liên quan như sau:","Tại thời điểm cuối năm, số dư của Ngân hàng với các bên liên quan như sau:",,
,,,,31/12/2017,,
,,,,Triệu VND,,
Tiền gửi của khách hàng- Thành viên Hội đồng quản trị,"Tại thời điểm cuối năm, số dư của Ngân hàng với các bên liên quan như sau: > Tiền gửi của khách hàng- Thành viên Hội đồng quản trị",Tiền gửi của khách hàng- Thành viên Hội đồng quản trị,,22.007,,22007.0
- Thành viên Ban Tổng giám đốc,"Tại thời điểm cuối năm, số dư của Ngân hàng với các bên liên quan như sau: > - Thành viên Ban Tổng giám đốc",- Thành viên Ban Tổng giám đốc,,20.974,,20974.0
- Thành viên Ban Kiểm soát,"Tại thời điểm cuối năm, số dư của Ngân hàng với các bên liên quan như sau: > - Thành viên Ban Kiểm soát",- Thành viên Ban Kiểm soát,,717,,717.0
