row_label_raw,row_label_full,col_0,EURđược quyđổi,USDđược quyđổi,Các ngoạihối khácđược quyđổi,Tổng,numeric__EURđược quyđổi,numeric__USDđược quyđổi,numeric__Các ngoạihối khácđược quyđổi,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
"I. Tiền mặt, vàng bạc, đá quý","TÀI SẢN > I. Tiền mặt, vàng bạc, đá quý","I. Tiền mặt, vàng bạc, đá quý",3.947,52.938,-,56.885,3947.0,52938.0,,56885.0
II. Tiền gửi tại NHNN,TÀI SẢN > II. Tiền gửi tại NHNN,II. Tiền gửi tại NHNN,-,2.610,-,2.610,,2610.0,,2610.0
"III. Tiền, vàng gửi và cho vay các TCTD khác (*)","TÀI SẢN > III. Tiền, vàng gửi và cho vay các TCTD khác (*)","III. Tiền, vàng gửi và cho vay các TCTD khác (*)",2.664,732.644,5.791,741.099,2664.0,732644.0,5791.0,741099.0
VI. Cho vay khách hàng (*),TÀI SẢN > VI. Cho vay khách hàng (*),VI. Cho vay khách hàng (*),-,32.431,-,32.431,,32431.0,,32431.0
X. Tài sản có khác,TÀI SẢN > X. Tài sản có khác,X. Tài sản có khác,-,1.904,1,1.905,,1904.0,1.0,1905.0
Tổng tài sản,TÀI SẢN > Tổng tài sản,Tổng tài sản,6.611,822.527,5.792,834.930,6611.0,822527.0,5792.0,834930.0
NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,
I. Tiền gửi và vay từ NHNN và các TCTD khác,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > I. Tiền gửi và vay từ NHNN và các TCTD khác,I. Tiền gửi và vay từ NHNN và các TCTD khác,-,1.189.639,-,1.189.639,,1189639.0,,1189639.0
II. Tiền gửi của khách hàng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > II. Tiền gửi của khách hàng,II. Tiền gửi của khách hàng,3.906,191.323,8,195.237,3906.0,191323.0,8.0,195237.0
VI. Các khoản nợ khác,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > VI. Các khoản nợ khác,VI. Các khoản nợ khác,8,1.548.392,-,1.548.400,8.0,1548392.0,,1548400.0
Tổng nợ phải trả và vốn chủ sở hữu,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,3.914,2.929.354,8,2.933.276,3914.0,2929354.0,8.0,2933276.0
Trạng thái tiền tệ nội bảng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,2.697,(2.106.827),5.784,(2.098.346),2697.0,-2106827.0,5784.0,-2098346.0
Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,-,-,-,-,,,,
Trạng thái tiền tệ nội ngoại bảng,Trạng thái tiền tệ ngoại bảng > Trạng thái tiền tệ nội ngoại bảng,Trạng thái tiền tệ nội ngoại bảng,2.697,(2.106.827),5.784,(2.098.346),2697.0,-2106827.0,5784.0,-2098346.0
