row_label_raw,row_label_full,col_0,"Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,Khác,Khác_1,Hoạt động chung không phân bổ,Hoạt động chung không phân bổ_1,Tổng cộng,Tổng cộng_1,"numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,numeric__Khác,numeric__Khác_1,numeric__Hoạt động chung không phân bổ,numeric__Hoạt động chung không phân bổ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,Năm nay/Cuối nămTriệu VND,Năm trước/Đầu nămTriệu VND,Năm nay/Cuối nămTriệu VND,Năm trước/Đầu nămTriệu VND,Năm nay/Cuối nămTriệu VND,Năm trước/Đầu nămTriệu VND,Năm nay/Cuối nămTriệu VND,Năm trước/Đầu nămTriệu VND,Năm nay/Cuối nămTriệu VND,Năm trước/Đầu nămTriệu VND,,,,,,,,,,
I. Doanh thu,I. Doanh thu,I. Doanh thu,6.805.826,5.633.229,51.920,59.073,281.031,144.118,-,-,7.138.777,5.836.420,6805826.0,5633229.0,51920.0,59073.0,281031.0,144118.0,,,7138777.0,5836420.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,6.805.826,5.633.229,-,-,6.331,4.508,-,-,6.812.157,5.637.737,6805826.0,5633229.0,,,6331.0,4508.0,,,6812157.0,5637737.0
2. Doanh thu từ hoạt động đầu tư,2. Doanh thu từ hoạt động đầu tư,2. Doanh thu từ hoạt động đầu tư,-,-,51.920,59.073,-,-,-,-,51.920,59.073,,,51920.0,59073.0,,,,,51920.0,59073.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,-,-,-,-,274.700,139.610,-,-,274.700,139.610,,,,,274700.0,139610.0,,,274700.0,139610.0
II. Chi phí,II. Chi phí,II. Chi phí,5.154.240,4.303.825,33.450,46.279,161.700,92.904,747.857,704.966,6.097.247,5.147.974,5154240.0,4303825.0,33450.0,46279.0,161700.0,92904.0,747857.0,704966.0,6097247.0,5147974.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,5.154.240,4.303.825,-,-,-,-,-,-,5.154.240,4.303.825,5154240.0,4303825.0,,,,,,,5154240.0,4303825.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,-,-,-,-,-,-,33.848,33.808,33.848,33.808,,,,,,,33848.0,33808.0,33848.0,33808.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,-,-,33.450,46.279,161.700,92.904,714.009,671.158,909.159,810.341,,,33450.0,46279.0,161700.0,92904.0,714009.0,671158.0,909159.0,810341.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,1.651.586,1.329.404,18.470,12.794,119.331,51.214,(747.857),(704.966),1.041.530,688.446,1651586.0,1329404.0,18470.0,12794.0,119331.0,51214.0,-747857.0,-704966.0,1041530.0,688446.0
Chi phí/(Hoàn nhập) dự phòng rủi ro,Chi phí/(Hoàn nhập) dự phòng rủi ro,Chi phí/(Hoàn nhập) dự phòng rủi ro,296.423,64.007,2.442,(2.186),-,-,-,-,298.865,61.821,296423.0,64007.0,2442.0,-2186.0,,,,,298865.0,61821.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,1.355.163,1.265.397,16.028,14.980,119.331,51.214,(747.857),(704.966),742.665,626.625,1355163.0,1265397.0,16028.0,14980.0,119331.0,51214.0,-747857.0,-704966.0,742665.0,626625.0
