row_label_raw,row_label_full,col_0,Trong nước VND,Nước ngoài VND,Tổng cộng VND,numeric__Trong nước VND,numeric__Nước ngoài VND,numeric__Tổng cộng VND
Tài sản vào ngày 31 tháng 12 năm 2021,Tài sản vào ngày 31 tháng 12 năm 2021,Tài sản vào ngày 31 tháng 12 năm 2021,Tài sản vào ngày 31 tháng 12 năm 2021,Tài sản vào ngày 31 tháng 12 năm 2021,Tài sản vào ngày 31 tháng 12 năm 2021,,,
Tiền gửi tại và cho vay các TCTD khác,Tài sản vào ngày 31 tháng 12 năm 2021 > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,22.275.943.254.913,318.595.791.839,22.594.539.046.752,22275943254913.0,318595791839.0,22594539046752.0
Chứng khoán kinh doanh,Tài sản vào ngày 31 tháng 12 năm 2021 > Chứng khoán kinh doanh,Chứng khoán kinh doanh,4.565.000.020.000,-,4.565.000.020.000,4565000020000.0,,4565000020000.0
Các công cụ tài chínhphái sinh (tổng giá trị giao dịch theo hợp đồng),Tài sản vào ngày 31 tháng 12 năm 2021 > Các công cụ tài chínhphái sinh (tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chínhphái sinh (tổng giá trị giao dịch theo hợp đồng),50.428.076.240.972,-,50.428.076.240.972,50428076240972.0,,50428076240972.0
Cho vay khách hàng,Tài sản vào ngày 31 tháng 12 năm 2021 > Cho vay khách hàng,Cho vay khách hàng,102.050.733.038.455,-,102.050.733.038.455,102050733038455.0,,102050733038455.0
Hoạt động mua nợ,Tài sản vào ngày 31 tháng 12 năm 2021 > Hoạt động mua nợ,Hoạt động mua nợ,667.000.000,-,667.000.000,667000000.0,,667000000.0
Chứng khoán đầu tư,Tài sản vào ngày 31 tháng 12 năm 2021 > Chứng khoán đầu tư,Chứng khoán đầu tư,40.980.428.800.914,-,40.980.428.800.914,40980428800914.0,,40980428800914.0
Công nợ vào ngày 31 tháng 12 năm 2021,Công nợ vào ngày 31 tháng 12 năm 2021,Công nợ vào ngày 31 tháng 12 năm 2021,Công nợ vào ngày 31 tháng 12 năm 2021,Công nợ vào ngày 31 tháng 12 năm 2021,Công nợ vào ngày 31 tháng 12 năm 2021,,,
Tiền gửi và vay các TCTD khác,Công nợ vào ngày 31 tháng 12 năm 2021 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,30.395.535.894.752,1.642.488.432.825,32.038.024.327.577,30395535894752.0,1642488432825.0,32038024327577.0
Tiền gửi của khách hàng,Công nợ vào ngày 31 tháng 12 năm 2021 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,97.605.155.935.988,1.199.456.839.556,98.804.612.775.544,97605155935988.0,1199456839556.0,98804612775544.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Công nợ vào ngày 31 tháng 12 năm 2021 > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",238.517.838.269,4.757.885.000.000,4.996.402.838.269,238517838269.0,4757885000000.0,4996402838269.0
Phát hành giấy tờ có giá,Công nợ vào ngày 31 tháng 12 năm 2021 > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,22.628.650.000.000,-,22.628.650.000.000,22628650000000.0,,22628650000000.0
Cam kết tin dụng vào ngày 31 tháng 12 năm 2021,Công nợ vào ngày 31 tháng 12 năm 2021 > Cam kết tin dụng vào ngày 31 tháng 12 năm 2021,Cam kết tin dụng vào ngày 31 tháng 12 năm 2021,21.024.948.136.851,-,21.024.948.136.851,21024948136851.0,,21024948136851.0
