row_label_raw,row_label_full,col_0,Quá hạnVND,Không nhạy cảm với lãi suấtVND,Đến 1 thángVND,Từ 1 - 3 thángVND,Từ 3 - 6 thángVND,Từ 6 - 12 thángVND,Từ 1 - 5 nămVND,Trên 5 nămVND,Tổng cộngVND,numeric__Quá hạnVND,numeric__Không nhạy cảm với lãi suấtVND,numeric__Đến 1 thángVND,numeric__Từ 1 - 3 thángVND,numeric__Từ 3 - 6 thángVND,numeric__Từ 6 - 12 thángVND,numeric__Từ 1 - 5 nămVND,numeric__Trên 5 nămVND,numeric__Tổng cộngVND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,713.556.130.605,-,-,-,-,-,-,713.556.130.605,,713556130605.0,,,,,,,713556130605.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,3.852.855.231.576,-,-,-,-,-,-,3.852.855.231.576,,3852855231576.0,,,,,,,3852855231576.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,617.931.234.704,16.084.936.978.748,5.630.564.234.575,212.106.598.725,-,49.000.000.000,-,22.594.539.046.752,,617931234704.0,16084936978748.0,5630564234575.0,212106598725.0,,49000000000.0,,22594539046752.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,-,-,-,4.565.000.020.000,-,-,4.565.000.020.000,,,,,,4565000020000.0,,,4565000020000.0
Các công cụ tài chínhphái sinh,Tài sản > Các công cụ tài chínhphái sinh,Các công cụ tài chínhphái sinh,-,125.806.840.360,-,-,-,-,-,-,125.806.840.360,,125806840360.0,,,,,,,125806840360.0
Cho vay khách hàng và mua nợ - gộp,Tài sản > Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,2.209.385.127.834,-,18.124.976.554.089,35.986.351.987.221,32.875.532.134.938,6.487.765.357.134,6.367.388.877.239,-,102.051.400.038.455,2209385127834.0,,18124976554089.0,35986351987221.0,32875532134938.0,6487765357134.0,6367388877239.0,,102051400038455.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,2.459.088.200.914,500.000.000.000,386.600.000.000,1.600.000.000.000,8.419.594.000.000,4.919.146.600.000,22.696.000.000.000,40.980.428.800.914,,2459088200914.0,500000000000.0,386600000000.0,1600000000000.0,8419594000000.0,4919146600000.0,22696000000000.0,40980428800914.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,554.723.909.013,-,-,-,-,-,-,554.723.909.013,,554723909013.0,,,,,,,554723909013.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,4.800.000.000,10.180.866.774.229,-,-,-,-,-,-,10.185.666.774.229,4800000000.0,10180866774229.0,,,,,,,10185666774229.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.214.185.127.834,18.504.828.321.401,34.709.913.532.837,42.003.516.221.796,34.687.638.733.663,19.472.359.377.134,11.335.535.477.239,22.696.000.000.000,185.623.976.791.904,2214185127834.0,18504828321401.0,34709913532837.0,42003516221796.0,34687638733663.0,19472359377134.0,11335535477239.0,22696000000000.0,185623976791904.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,-,1.142.263.566,129.464.693.485,-,-,130.606.957.051,,,,,1142263566.0,129464693485.0,,,130606957051.0
Tiền gửi và vay từ TCTD khác,Nợ phải trả > Tiền gửi và vay từ TCTD khác,Tiền gửi và vay từ TCTD khác,-,-,23.390.212.864.338,4.302.606.599.624,1.934.701.929.819,2.291.512.472.312,118.168.012.800,822.448.684,32.038.024.327.577,,,23390212864338.0,4302606599624.0,1934701929819.0,2291512472312.0,118168012800.0,822448684.0,32038024327577.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,41.424.790.048.612,19.506.498.958.203,20.975.512.267.762,13.241.159.022.798,3.656.652.478.169,-,98.804.612.775.544,,,41424790048612.0,19506498958203.0,20975512267762.0,13241159022798.0,3656652478169.0,,98804612775544.0
"Vốn tải trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Nợ phải trả > Vốn tải trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tải trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",-,-,300.000.000,2.601.784.175.000,2.162.975.000.000,13.036.325.000,199.911.812.769,18.395.525.500,4.996.402.838.269,,,300000000.0,2601784175000.0,2162975000000.0,13036325000.0,199911812769.0,18395525500.0,4996402838269.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,600.000.000.000,-,650.000.000.000,60.000.000.000,21.318.650.000.000,-,22.628.650.000.000,,,600000000000.0,,650000000000.0,60000000000.0,21318650000000.0,,22628650000000.0
