row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy vi tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy vi tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư tại ngày 1 tháng 1 năm 2021,Nguyên giá > Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,135.350.162.612,312.870.172.915,448.220.335.527,135350162612.0,312870172915.0,448220335527.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,11.303.514.600,11.303.514.600,,11303514600.0,11303514600.0
Nâng cấp trong năm,Nguyên giá > Nâng cấp trong năm,Nâng cấp trong năm,-,11.757.318.666,11.757.318.666,,11757318666.0,11757318666.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,10.416.896.151,10.416.896.151,,10416896151.0,10416896151.0
Số dư tại ngày 31 tháng 12 năm 2021,Nguyên giá > Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,135.350.162.612,346.347.902.332,481.698.064.944,135350162612.0,346347902332.0,481698064944.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư tại ngày 1 tháng 1 năm 2021,Giá trị hao mòn lũy kế > Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,2.260.462.537,172.793.741.903,175.054.204.440,2260462537.0,172793741903.0,175054204440.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,163.753.284,36.881.869.434,37.045.622.718,163753284.0,36881869434.0,37045622718.0
Số dư tại ngày 31 tháng 12 năm 2021,Giá trị hao mòn lũy kế > Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,2.424.215.821,209.675.611.337,212.099.827.158,2424215821.0,209675611337.0,212099827158.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,133.089.700.075,140.076.431.012,273.166.131.087,133089700075.0,140076431012.0,273166131087.0
Số dư tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,132.925.946.791,136.672.290.995,269.598.237.786,132925946791.0,136672290995.0,269598237786.0
